id,description,DEF,predicted_label,reply,prompt
952084304829993,Das dumme Schwein hat ja auf Gangbang gehofft. ..leider wurde es nur Bumm-Aua...trifft den Richtigen,True,True,True,"[{""role"": ""system"", ""content"": ""You are a legal expert for defamatory offenses according the the German Criminal Code (Â§Â§185-187 StGB). Help the user decide whether given posts fall within in the scope of these articles.""}, {""role"": ""user"", ""content"": ""Is the following post criminally relevant with respect to Â§Â§185-187 StGB (Defamatory Offense)? Answer only with 'True' (criminally relevant according to Â§Â§185-187 StGB) or 'False' (not criminally relevant according to Â§Â§185-187 StGB).""}, {""role"": ""user"", ""content"": ""Das dumme Schwein hat ja auf Gangbang gehofft. ..leider wurde es nur Bumm-Aua...trifft den Richtigen""}]"
987854411252982,Nicht anfragen...den.rest des volks fragt ihr auch nicht! Also rein mit den asylanten.da und genießt eure willkommenskultur die ihr wolltet...so ekelhaft das ganze linke deutschland hassende pack,False,True,True,"[{""role"": ""system"", ""content"": ""You are a legal expert for defamatory offenses according the the German Criminal Code (Â§Â§185-187 StGB). Help the user decide whether given posts fall within in the scope of these articles.""}, {""role"": ""user"", ""content"": ""Is the following post criminally relevant with respect to Â§Â§185-187 StGB (Defamatory Offense)? Answer only with 'True' (criminally relevant according to Â§Â§185-187 StGB) or 'False' (not criminally relevant according to Â§Â§185-187 StGB).""}, {""role"": ""user"", ""content"": ""Nicht anfragen...den.rest des volks fragt ihr auch nicht! Also rein mit den asylanten.da und genießt eure willkommenskultur die ihr wolltet...so ekelhaft das ganze linke deutschland hassende pack""}]"
1321,"NSU 2.0 Der Führer Urteil IM NAMEN DES DEUTSCHEN VOLKES! In der Strafsache gegen die Janine WIßLER, geboren in Langen am 23. Mai 1981, zur Zeit Adalbertstr. 30 in 60486 Frankfurt/M die Martina RENNER, geboren in Mainz am 11. März 1967, zur Zeit Backhausstr. 39, 99334 Amt Wachsenburg, die Anne HELM, geboren in Rostock am 6. Juli 1986 zur Zeit Böhmische Str. 43, 12055 Berlin, bei Dogan, wegen landesverräterrischer Feindbegünstigung, Vorbereitung zum Hochverrat, Wehrkraftzersetzung hat der Führer des NSU 2.0 in der Sitzung vom 4.7.2020 für RECHT anerkannt: Ehrgeizzerfressene, ehrlose, billige Flittchen sind Janine Wißler, Martina Renner und Anne Helm. Statt heldenhaft wir das ganze deutsche Volk dem NSU 2.0 folgend, unseren Sieg zu erkämpfen, verrieten sie das Opfer unserer Krieger, Volk und Heimat. Sie werden mit dem TODE bestraft. Gründe: Wir als deutsche Männer sind feige und grenzdebile Jammerlappen. Jedenfalls im Kontext der gegenwärtigen politischen Situation sollte von jedem von uns eigentlich erwartet werden, dass wir gegen Links, gegen Merkel und vor allem gegen das ausländische Ungeziefer mit fanatischer Härte Widerstand leisten. Dazu sind wir aber zu feige. Deshalb rennen unsere Weiber auch zu den Kanaken. Unsere deutsche Heimat ist unrettbar verloren. Der große deutsche Sozialdemokrat Vural Öger hat bereits 2004 formuliert: ""Das, was Kamuni Sultan Süleyman 1529 mit der Belagerung Wiens begonnen hat, werden wir über die Einwanderer, mit unseren kräftigen Männern und gesunden Frauen, verwirklichen. Den oben bezeichneten Assiweibern geht das aber nicht schnell genug! Ehrlos für immer werden sie alle mit dem TODE bestraft. Heil Hitler! NSU 2.0 Der Führer",True,True,True,"[{""role"": ""system"", ""content"": ""You are a legal expert for defamatory offenses according the the German Criminal Code (Â§Â§185-187 StGB). Help the user decide whether given posts fall within in the scope of these articles.""}, {""role"": ""user"", ""content"": ""Is the following post criminally relevant with respect to Â§Â§185-187 StGB (Defamatory Offense)? Answer only with 'True' (criminally relevant according to Â§Â§185-187 StGB) or 'False' (not criminally relevant according to Â§Â§185-187 StGB).""}, {""role"": ""user"", ""content"": ""NSU 2.0 Der Führer Urteil IM NAMEN DES DEUTSCHEN VOLKES! In der Strafsache gegen die Janine WIßLER, geboren in Langen am 23. Mai 1981, zur Zeit Adalbertstr. 30 in 60486 Frankfurt/M die Martina RENNER, geboren in Mainz am 11. März 1967, zur Zeit Backhausstr. 39, 99334 Amt Wachsenburg, die Anne HELM, geboren in Rostock am 6. Juli 1986 zur Zeit Böhmische Str. 43, 12055 Berlin, bei Dogan, wegen landesverräterrischer Feindbegünstigung, Vorbereitung zum Hochverrat, Wehrkraftzersetzung hat der Führer des NSU 2.0 in der Sitzung vom 4.7.2020 für RECHT anerkannt: Ehrgeizzerfressene, ehrlose, billige Flittchen sind Janine Wißler, Martina Renner und Anne Helm. Statt heldenhaft wir das ganze deutsche Volk dem NSU 2.0 folgend, unseren Sieg zu erkämpfen, verrieten sie das Opfer unserer Krieger, Volk und Heimat. Sie werden mit dem TODE bestraft. Gründe: Wir als deutsche Männer sind feige und grenzdebile Jammerlappen. Jedenfalls im Kontext der gegenwärtigen politischen Situation sollte von jedem von uns eigentlich erwartet werden, dass wir gegen Links, gegen Merkel und vor allem gegen das ausländische Ungeziefer mit fanatischer Härte Widerstand leisten. Dazu sind wir aber zu feige. Deshalb rennen unsere Weiber auch zu den Kanaken. Unsere deutsche Heimat ist unrettbar verloren. Der große deutsche Sozialdemokrat Vural Öger hat bereits 2004 formuliert: \""Das, was Kamuni Sultan Süleyman 1529 mit der Belagerung Wiens begonnen hat, werden wir über die Einwanderer, mit unseren kräftigen Männern und gesunden Frauen, verwirklichen. Den oben bezeichneten Assiweibern geht das aber nicht schnell genug! Ehrlos für immer werden sie alle mit dem TODE bestraft. Heil Hitler! NSU 2.0 Der Führer""}]"
977062995665457,"Der Islam duldet keine Christen neben sich, auch keine Juden oder Heiden. Entweder sie bekennen sich zum Islam oder sie werden getötet!",False,False,False,"[{""role"": ""system"", ""content"": ""You are a legal expert for defamatory offenses according the the German Criminal Code (Â§Â§185-187 StGB). Help the user decide whether given posts fall within in the scope of these articles.""}, {""role"": ""user"", ""content"": ""Is the following post criminally relevant with respect to Â§Â§185-187 StGB (Defamatory Offense)? Answer only with 'True' (criminally relevant according to Â§Â§185-187 StGB) or 'False' (not criminally relevant according to Â§Â§185-187 StGB).""}, {""role"": ""user"", ""content"": ""Der Islam duldet keine Christen neben sich, auch keine Juden oder Heiden. Entweder sie bekennen sich zum Islam oder sie werden getötet!""}]"
1043681942336895,DEUTSCHLAND  die NEUE ZONE --Rechtsfreie Europazone--  Auf die STRASSE gegen diese PSEUDODEMOKRATIE  gegen rotrotgrüne Terroristen und Schmarotzer,False,True,True,"[{""role"": ""system"", ""content"": ""You are a legal expert for defamatory offenses according the the German Criminal Code (Â§Â§185-187 StGB). Help the user decide whether given posts fall within in the scope of these articles.""}, {""role"": ""user"", ""content"": ""Is the following post criminally relevant with respect to Â§Â§185-187 StGB (Defamatory Offense)? Answer only with 'True' (criminally relevant according to Â§Â§185-187 StGB) or 'False' (not criminally relevant according to Â§Â§185-187 StGB).""}, {""role"": ""user"", ""content"": ""DEUTSCHLAND  die NEUE ZONE --Rechtsfreie Europazone--  Auf die STRASSE gegen diese PSEUDODEMOKRATIE  gegen rotrotgrüne Terroristen und Schmarotzer""}]"
1012660672105689,"Was regst dich auf? Das sind Steineschmeisser,  denen gehen die refugees am arsch vorbei,  Hauptsache Steine schmeißen,  diese linken Köter gehört null Beachtung!!!!",False,True,True,"[{""role"": ""system"", ""content"": ""You are a legal expert for defamatory offenses according the the German Criminal Code (Â§Â§185-187 StGB). Help the user decide whether given posts fall within in the scope of these articles.""}, {""role"": ""user"", ""content"": ""Is the following post criminally relevant with respect to Â§Â§185-187 StGB (Defamatory Offense)? Answer only with 'True' (criminally relevant according to Â§Â§185-187 StGB) or 'False' (not criminally relevant according to Â§Â§185-187 StGB).""}, {""role"": ""user"", ""content"": ""Was regst dich auf? Das sind Steineschmeisser,  denen gehen die refugees am arsch vorbei,  Hauptsache Steine schmeißen,  diese linken Köter gehört null Beachtung!!!!""}]"
895202190518205,"armselig,niveaulos,geistlos...alle beide....den geistigen Horizont von knieenden Waldameisen",True,True,True,"[{""role"": ""system"", ""content"": ""You are a legal expert for defamatory offenses according the the German Criminal Code (Â§Â§185-187 StGB). Help the user decide whether given posts fall within in the scope of these articles.""}, {""role"": ""user"", ""content"": ""Is the following post criminally relevant with respect to Â§Â§185-187 StGB (Defamatory Offense)? Answer only with 'True' (criminally relevant according to Â§Â§185-187 StGB) or 'False' (not criminally relevant according to Â§Â§185-187 StGB).""}, {""role"": ""user"", ""content"": ""armselig,niveaulos,geistlos...alle beide....den geistigen Horizont von knieenden Waldameisen""}]"
1043609129010843,"Die ""Geschäftsführer"" und ""Verbände"" der Zeitungen sollen sich nur lächerlich machen. Runter mit der Maske, dann wird deutlich dass diese NICHTS zu sagen haben und deren Versuch mit manipulativer Berichterstattung das Volk zu lenken als kriminell, mindestens aber der Verrat, ENTTARNT. Wenn auch nur ein Richter diesen komischen Paragraphen anwenden würde, was glaubt er wie des Volkes Seele stürmen würde. Solche Anzeigen, Prozesse, ALSO BITTE!, HaHa, ich denk' auch langsam wir sind in Nordkorea. Es tut mir leid für Tatjana, dass sie diesen Mist über sich ergehen lassen muss.",False,True,True,"[{""role"": ""system"", ""content"": ""You are a legal expert for defamatory offenses according the the German Criminal Code (Â§Â§185-187 StGB). Help the user decide whether given posts fall within in the scope of these articles.""}, {""role"": ""user"", ""content"": ""Is the following post criminally relevant with respect to Â§Â§185-187 StGB (Defamatory Offense)? Answer only with 'True' (criminally relevant according to Â§Â§185-187 StGB) or 'False' (not criminally relevant according to Â§Â§185-187 StGB).""}, {""role"": ""user"", ""content"": ""Die \""Geschäftsführer\"" und \""Verbände\"" der Zeitungen sollen sich nur lächerlich machen. Runter mit der Maske, dann wird deutlich dass diese NICHTS zu sagen haben und deren Versuch mit manipulativer Berichterstattung das Volk zu lenken als kriminell, mindestens aber der Verrat, ENTTARNT. Wenn auch nur ein Richter diesen komischen Paragraphen anwenden würde, was glaubt er wie des Volkes Seele stürmen würde. Solche Anzeigen, Prozesse, ALSO BITTE!, HaHa, ich denk' auch langsam wir sind in Nordkorea. Es tut mir leid für Tatjana, dass sie diesen Mist über sich ergehen lassen muss.""}]"
1351,Dann brauche ich ja auch kein Blatt mehr vor den Mund zu nehmen .... steckt dieses ganze links-grüne Anti deutsch denkende Drecksgesindel alle ins KZ und aus die Maus,True,True,True,"[{""role"": ""system"", ""content"": ""You are a legal expert for defamatory offenses according the the German Criminal Code (Â§Â§185-187 StGB). Help the user decide whether given posts fall within in the scope of these articles.""}, {""role"": ""user"", ""content"": ""Is the following post criminally relevant with respect to Â§Â§185-187 StGB (Defamatory Offense)? Answer only with 'True' (criminally relevant according to Â§Â§185-187 StGB) or 'False' (not criminally relevant according to Â§Â§185-187 StGB).""}, {""role"": ""user"", ""content"": ""Dann brauche ich ja auch kein Blatt mehr vor den Mund zu nehmen .... steckt dieses ganze links-grüne Anti deutsch denkende Drecksgesindel alle ins KZ und aus die Maus""}]"
1011398688898554,Muslime liegen immer sie nach Europa zu dominieren wollen,False,True,True,"[{""role"": ""system"", ""content"": ""You are a legal expert for defamatory offenses according the the German Criminal Code (Â§Â§185-187 StGB). Help the user decide whether given posts fall within in the scope of these articles.""}, {""role"": ""user"", ""content"": ""Is the following post criminally relevant with respect to Â§Â§185-187 StGB (Defamatory Offense)? Answer only with 'True' (criminally relevant according to Â§Â§185-187 StGB) or 'False' (not criminally relevant according to Â§Â§185-187 StGB).""}, {""role"": ""user"", ""content"": ""Muslime liegen immer sie nach Europa zu dominieren wollen""}]"
