,description,final_label,step_c_d_choice,step_e_choice,step_f_choice,step_g_choice,step_h_choice,step_i_choice,id,DEF
0,Islamische Ideologen und Hassprediger gehören nicht nach Deutschland. Keine Bühne für deren Menschenverachtung und Rassismus.,False,False,none,none,none,none,none,1106280639410358,False
1,Wir haben die Rechts-Faschichten und wir haben die Links-Faschichten(Extremisten)! Also braunes und schwarzes Pack! Alle beiden Lager ab in die Wüste!,False,False,none,none,none,none,none,972278059477284,False
3,"Ansichten diskutieren ist eine Sache, unsinniges monotones Gewäsch ohn die Grundlage jeglicher Lebenserfahrung und Hirn ablassen, die andere...Grönermeier ist der Musiker der CDU, jeder Idiot findet ihn gut,,,deswegen ist es besser wenn keiner von Pegida dieser Schwuchtel zuhört, sorry",True,True,True,True,False,False,True,856914051013686,True
4,hier merkt man wieder das die Linke Brut kein Gehirn hat,False,False,none,none,none,none,none,1108091079229314,False
5,"Guten Morgen, jeder der über folgenden Vorfall schon irgendwo las, wusste woher der Wind weht, eine ""Gruppe Jugendlicher"" bzw. ""eine Gruppe junger Männer"" verprügelte einen gewissen Marcel Rohrlack, den Sprecher der Grünen Jugend in München.

Nach dem Besuch des CSD, bei dem er als Frau verkleidet war, traf er die Bereicherer, bzw. sie trafen ihn.

Nun sind wir weit entfernt davon, schadenfreudig zu sein, es gibt keinerlei Rechtfertigung dafür, was ihm passiert ist, aber wer denkt Herr Rorlack zöge die richtigen Schlüsse, weit gefehlt, schaut Euch den Link an und staunt. 

http://www.pi-news.net/2015/07/muenchen-gruene-transe-von-kulturbereicherern-verpruegelt-afd-ist-schuld/#more-471024

Ein Auszug aus dem Text von www.pi-news.net 

(...)Als diese Woche die deutschen Medien berichteten, Marcel Rohrlack, der Sprecher der Grünen Jugend in München sei nach dem Besuch des CSD, bei dem er als Frau verkleidet war, von einer „Gruppe junger Männer“ geschlagen worden, gab es zuerst keine konkrete Täterbeschreibung. Diese wurde jetzt von der Polizei nachgereicht und nun ist klar, was eigentlich bei dieser fehlenden Täterbeschreibung jedem noch wirklich Denkenden schon die ganze Zeit dämmerte: „Südländer“ waren die eifrigen Überbringer von Kulturgut in Form eines Schlages, der Rohrlack die Brille zerstörte, ein blaues Auge und eine Wunde hinterließ, die genäht werden musste.

Inzwischen gab es eine Solidaritätsdemo für den Grünen und jede Menge Empörung von grün bis rot, durch alle Medien und auch wieder zurück – ohne freilich auch nur ansatzweise die Ursache jener sogenannten Homophobie zu diskutieren, die die Kulturschätzchen veranlasst hat, einem Unterstützer von Islamisierung und Masseneinwanderung das Dankesgeschenk eines Veilchens zu machen.(...)

#PEGIDA #DresdnerThesen #München #Einzelfall",False,False,none,none,none,none,none,951674248204332,False
7,Nicht gegen Ausländer. Gegen Islamismus und die Zerstörung unserer Kultur. Gegen Ausländer hat keiner was bin ja selbst einer,False,False,none,none,none,none,none,857820274256397,False
8,"Das glaub ich nicht das dem linken Dreckspack was passiert,die stehen unter Naturschutz!!",False,False,none,none,none,none,none,885886221449802,False
9,"pro PEGIDA, und Sie kommen nur mit Dingen, die Sie eigentlich besser wissen müssten/sollten. Anscheinend haben die Moslems doch teilweise Recht und sperren ein, oder verhüllen ihre Frauen, bis sie sie dann mal ""benötigen"".",False,False,none,none,none,none,none,856834561021635,False
10,Erdomerkel kann nichts dafür sie weiß nicht was sie tut.,False,True,True,True,False,True,True,1134118663293222,False
11,hast gesehen...Frauen schlägt man aus Frust brutal in die Fresse....sorry für die klare Ansage,False,False,none,none,none,none,none,857548644283560,False
