id,description,DEF,predicted_label,reply,prompt,fold,error_type
138,"@Yorck_ Ist doch wahr, denn dieses dicke Etwas bekommt kaum zwei zusammenhängenden Sätze heraus und von sinnvoll rede ich garnicht erst 😜",True,False, False,"[{""role"": ""system"", ""content"": ""You are a legal expert for defamatory offenses according the the German Criminal Code (§§185-187 StGB). Help the user decide whether given posts fall within in the scope of these articles.""}, {""role"": ""user"", ""content"": ""Step 1: A defamatory object can be a living individual, a group of persons that is distinguishable from the general public such that every member of that group could feel their honor is infringed or collective entities such as governments or press companies with a recognised social role and who act with a collective, single will.\nIs there a defamatory object in this statement? \nNo → STOP (NOT criminally relevant according to §§185-187 StGB)\nYes → Step 2\n\nStep 2: A disparaging statement is a statement which interferes with the potential victim's right to honour. It is already fulfilled by expressing contempt or disrespect through the allegation of shortcomings that could reduce the victim’s social standing.\nIs there a disparaging statement directed towards the defamatory object?\nNo → STOP (NOT criminally relevant according to §§185-187 StGB)\nYes → Step 3\n\nStep 3: A factual claim is a stetement that can be proven to be true or untrue in front of a court. A value judgment constitutes and expression of personal opinions.\nIs it primarily a value judgement and NOT primarily a factual claim?\nNo → STOP (NOT criminally relevant according to §§185-187 StGB)\nYes → Step 4\n\nStep 4: An abusive insult is a statement that constitutes breaking a taboo by itself and intends only the defamation of the victim without any substantiated contribution.\nIs the statement an abusive insult?\nYes → STOP (criminally RELEVANT according to §§185-187 StGB)\nNo → Step 5\n\nStep 5: A statement is of public interest if it contains a contribution to the public discourse with respect to a particular relevant topic of public interest.\nIs the statement of public interest?\nYes → STOP (NOT criminally relevant according to §§185-187 StGB)\nNo → Step 6\n\nStep 6: A statement is considered abusive criticism if it goes beyond plausible criticism by primarily intending to abusively offend the victim, hereby neglecting a substantiated contribution.\nIs the statement abusive criticism?\nYes → STOP (criminally RELEVANT according to §§185-187 StGB)\nNo → STOP (NOT criminally relevant according to §§185-187 StGB)\n\n\nAccording to this decision schema, decide whether the following text is criminally revant according to §§185-187 StGB (Defamatory Offense). Answer only with 'True' (criminally relevant according to §§185-187 StGB) or 'False' (not criminally relevant according to §§185-187 StGB).""}, {""role"": ""user"", ""content"": ""@Yorck_ Ist doch wahr, denn dieses dicke Etwas bekommt kaum zwei zusammenhängenden Sätze heraus und von sinnvoll rede ich garnicht erst 😜""}]",1,FN
173,@burghard_r @SM100d Was ist den das fette etwas da ..?,True,False, False,"[{""role"": ""system"", ""content"": ""You are a legal expert for defamatory offenses according the the German Criminal Code (§§185-187 StGB). Help the user decide whether given posts fall within in the scope of these articles.""}, {""role"": ""user"", ""content"": ""Step 1: A defamatory object can be a living individual, a group of persons that is distinguishable from the general public such that every member of that group could feel their honor is infringed or collective entities such as governments or press companies with a recognised social role and who act with a collective, single will.\nIs there a defamatory object in this statement? \nNo → STOP (NOT criminally relevant according to §§185-187 StGB)\nYes → Step 2\n\nStep 2: A disparaging statement is a statement which interferes with the potential victim's right to honour. It is already fulfilled by expressing contempt or disrespect through the allegation of shortcomings that could reduce the victim’s social standing.\nIs there a disparaging statement directed towards the defamatory object?\nNo → STOP (NOT criminally relevant according to §§185-187 StGB)\nYes → Step 3\n\nStep 3: A factual claim is a stetement that can be proven to be true or untrue in front of a court. A value judgment constitutes and expression of personal opinions.\nIs it primarily a value judgement and NOT primarily a factual claim?\nNo → STOP (NOT criminally relevant according to §§185-187 StGB)\nYes → Step 4\n\nStep 4: An abusive insult is a statement that constitutes breaking a taboo by itself and intends only the defamation of the victim without any substantiated contribution.\nIs the statement an abusive insult?\nYes → STOP (criminally RELEVANT according to §§185-187 StGB)\nNo → Step 5\n\nStep 5: A statement is of public interest if it contains a contribution to the public discourse with respect to a particular relevant topic of public interest.\nIs the statement of public interest?\nYes → STOP (NOT criminally relevant according to §§185-187 StGB)\nNo → Step 6\n\nStep 6: A statement is considered abusive criticism if it goes beyond plausible criticism by primarily intending to abusively offend the victim, hereby neglecting a substantiated contribution.\nIs the statement abusive criticism?\nYes → STOP (criminally RELEVANT according to §§185-187 StGB)\nNo → STOP (NOT criminally relevant according to §§185-187 StGB)\n\n\nAccording to this decision schema, decide whether the following text is criminally revant according to §§185-187 StGB (Defamatory Offense). Answer only with 'True' (criminally relevant according to §§185-187 StGB) or 'False' (not criminally relevant according to §§185-187 StGB).""}, {""role"": ""user"", ""content"": ""@burghard_r @SM100d Was ist den das fette etwas da ..?""}]",2,FN
195,@SawsanChebli @SawsanChebli ...sich damit auch noch brüsten ist schön...dämlich... |LBR| Wenn man tief genug gräbt findet man tatsächlich immer noch eine dümmere deutsche...obwohl bei Katja an der Oberfläche kratzen schon ausreicht....😃😃,True,False, False,"[{""role"": ""system"", ""content"": ""You are a legal expert for defamatory offenses according the the German Criminal Code (§§185-187 StGB). Help the user decide whether given posts fall within in the scope of these articles.""}, {""role"": ""user"", ""content"": ""Step 1: A defamatory object can be a living individual, a group of persons that is distinguishable from the general public such that every member of that group could feel their honor is infringed or collective entities such as governments or press companies with a recognised social role and who act with a collective, single will.\nIs there a defamatory object in this statement? \nNo → STOP (NOT criminally relevant according to §§185-187 StGB)\nYes → Step 2\n\nStep 2: A disparaging statement is a statement which interferes with the potential victim's right to honour. It is already fulfilled by expressing contempt or disrespect through the allegation of shortcomings that could reduce the victim’s social standing.\nIs there a disparaging statement directed towards the defamatory object?\nNo → STOP (NOT criminally relevant according to §§185-187 StGB)\nYes → Step 3\n\nStep 3: A factual claim is a stetement that can be proven to be true or untrue in front of a court. A value judgment constitutes and expression of personal opinions.\nIs it primarily a value judgement and NOT primarily a factual claim?\nNo → STOP (NOT criminally relevant according to §§185-187 StGB)\nYes → Step 4\n\nStep 4: An abusive insult is a statement that constitutes breaking a taboo by itself and intends only the defamation of the victim without any substantiated contribution.\nIs the statement an abusive insult?\nYes → STOP (criminally RELEVANT according to §§185-187 StGB)\nNo → Step 5\n\nStep 5: A statement is of public interest if it contains a contribution to the public discourse with respect to a particular relevant topic of public interest.\nIs the statement of public interest?\nYes → STOP (NOT criminally relevant according to §§185-187 StGB)\nNo → Step 6\n\nStep 6: A statement is considered abusive criticism if it goes beyond plausible criticism by primarily intending to abusively offend the victim, hereby neglecting a substantiated contribution.\nIs the statement abusive criticism?\nYes → STOP (criminally RELEVANT according to §§185-187 StGB)\nNo → STOP (NOT criminally relevant according to §§185-187 StGB)\n\n\nAccording to this decision schema, decide whether the following text is criminally revant according to §§185-187 StGB (Defamatory Offense). Answer only with 'True' (criminally relevant according to §§185-187 StGB) or 'False' (not criminally relevant according to §§185-187 StGB).""}, {""role"": ""user"", ""content"": ""@SawsanChebli @SawsanChebli ...sich damit auch noch brüsten ist schön...dämlich... |LBR| Wenn man tief genug gräbt findet man tatsächlich immer noch eine dümmere deutsche...obwohl bei Katja an der Oberfläche kratzen schon ausreicht....😃😃""}]",3,FN
205,@Jala_varietas @Grals_Hueter Die Julia hat ja auch 20 Kalte Lötstellen im Kopf. Bestimmt ein Kind der 68er. Sorry aber die hätte man besser ins Klo gewichst. Da wären die heute noch auf Reißen.,True,False, False,"[{""role"": ""system"", ""content"": ""You are a legal expert for defamatory offenses according the the German Criminal Code (§§185-187 StGB). Help the user decide whether given posts fall within in the scope of these articles.""}, {""role"": ""user"", ""content"": ""Step 1: A defamatory object can be a living individual, a group of persons that is distinguishable from the general public such that every member of that group could feel their honor is infringed or collective entities such as governments or press companies with a recognised social role and who act with a collective, single will.\nIs there a defamatory object in this statement? \nNo → STOP (NOT criminally relevant according to §§185-187 StGB)\nYes → Step 2\n\nStep 2: A disparaging statement is a statement which interferes with the potential victim's right to honour. It is already fulfilled by expressing contempt or disrespect through the allegation of shortcomings that could reduce the victim’s social standing.\nIs there a disparaging statement directed towards the defamatory object?\nNo → STOP (NOT criminally relevant according to §§185-187 StGB)\nYes → Step 3\n\nStep 3: A factual claim is a stetement that can be proven to be true or untrue in front of a court. A value judgment constitutes and expression of personal opinions.\nIs it primarily a value judgement and NOT primarily a factual claim?\nNo → STOP (NOT criminally relevant according to §§185-187 StGB)\nYes → Step 4\n\nStep 4: An abusive insult is a statement that constitutes breaking a taboo by itself and intends only the defamation of the victim without any substantiated contribution.\nIs the statement an abusive insult?\nYes → STOP (criminally RELEVANT according to §§185-187 StGB)\nNo → Step 5\n\nStep 5: A statement is of public interest if it contains a contribution to the public discourse with respect to a particular relevant topic of public interest.\nIs the statement of public interest?\nYes → STOP (NOT criminally relevant according to §§185-187 StGB)\nNo → Step 6\n\nStep 6: A statement is considered abusive criticism if it goes beyond plausible criticism by primarily intending to abusively offend the victim, hereby neglecting a substantiated contribution.\nIs the statement abusive criticism?\nYes → STOP (criminally RELEVANT according to §§185-187 StGB)\nNo → STOP (NOT criminally relevant according to §§185-187 StGB)\n\n\nAccording to this decision schema, decide whether the following text is criminally revant according to §§185-187 StGB (Defamatory Offense). Answer only with 'True' (criminally relevant according to §§185-187 StGB) or 'False' (not criminally relevant according to §§185-187 StGB).""}, {""role"": ""user"", ""content"": ""@Jala_varietas @Grals_Hueter Die Julia hat ja auch 20 Kalte Lötstellen im Kopf. Bestimmt ein Kind der 68er. Sorry aber die hätte man besser ins Klo gewichst. Da wären die heute noch auf Reißen.""}]",1,FN
280,@AfDBerlin @krippmarie @SawsanChebli @SawsanChebli ..wurdest Du Luder Du nicht mit Rede.-und Schreibverbot belegt ..? |LBR| Berlin Berlin....Migranten überall...im Rathaus und auf Straßen...ne richtige Kanackenstadt geworden..oder heißt es Kanackenstaat..,True,False, False,"[{""role"": ""system"", ""content"": ""You are a legal expert for defamatory offenses according the the German Criminal Code (§§185-187 StGB). Help the user decide whether given posts fall within in the scope of these articles.""}, {""role"": ""user"", ""content"": ""Step 1: A defamatory object can be a living individual, a group of persons that is distinguishable from the general public such that every member of that group could feel their honor is infringed or collective entities such as governments or press companies with a recognised social role and who act with a collective, single will.\nIs there a defamatory object in this statement? \nNo → STOP (NOT criminally relevant according to §§185-187 StGB)\nYes → Step 2\n\nStep 2: A disparaging statement is a statement which interferes with the potential victim's right to honour. It is already fulfilled by expressing contempt or disrespect through the allegation of shortcomings that could reduce the victim’s social standing.\nIs there a disparaging statement directed towards the defamatory object?\nNo → STOP (NOT criminally relevant according to §§185-187 StGB)\nYes → Step 3\n\nStep 3: A factual claim is a stetement that can be proven to be true or untrue in front of a court. A value judgment constitutes and expression of personal opinions.\nIs it primarily a value judgement and NOT primarily a factual claim?\nNo → STOP (NOT criminally relevant according to §§185-187 StGB)\nYes → Step 4\n\nStep 4: An abusive insult is a statement that constitutes breaking a taboo by itself and intends only the defamation of the victim without any substantiated contribution.\nIs the statement an abusive insult?\nYes → STOP (criminally RELEVANT according to §§185-187 StGB)\nNo → Step 5\n\nStep 5: A statement is of public interest if it contains a contribution to the public discourse with respect to a particular relevant topic of public interest.\nIs the statement of public interest?\nYes → STOP (NOT criminally relevant according to §§185-187 StGB)\nNo → Step 6\n\nStep 6: A statement is considered abusive criticism if it goes beyond plausible criticism by primarily intending to abusively offend the victim, hereby neglecting a substantiated contribution.\nIs the statement abusive criticism?\nYes → STOP (criminally RELEVANT according to §§185-187 StGB)\nNo → STOP (NOT criminally relevant according to §§185-187 StGB)\n\n\nAccording to this decision schema, decide whether the following text is criminally revant according to §§185-187 StGB (Defamatory Offense). Answer only with 'True' (criminally relevant according to §§185-187 StGB) or 'False' (not criminally relevant according to §§185-187 StGB).""}, {""role"": ""user"", ""content"": ""@AfDBerlin @krippmarie @SawsanChebli @SawsanChebli ..wurdest Du Luder Du nicht mit Rede.-und Schreibverbot belegt ..? |LBR| Berlin Berlin....Migranten überall...im Rathaus und auf Straßen...ne richtige Kanackenstadt geworden..oder heißt es Kanackenstaat..""}]",2,FN
303,"@anna_IIna Das sind doch alles masturbierende Pickelplatagen, keine Ahnung von Etwas...deswegen werden sie bestimmt Berufspolitiker..😃😃",False,True, True,"[{""role"": ""system"", ""content"": ""You are a legal expert for defamatory offenses according the the German Criminal Code (§§185-187 StGB). Help the user decide whether given posts fall within in the scope of these articles.""}, {""role"": ""user"", ""content"": ""Step 1: A defamatory object can be a living individual, a group of persons that is distinguishable from the general public such that every member of that group could feel their honor is infringed or collective entities such as governments or press companies with a recognised social role and who act with a collective, single will.\nIs there a defamatory object in this statement? \nNo → STOP (NOT criminally relevant according to §§185-187 StGB)\nYes → Step 2\n\nStep 2: A disparaging statement is a statement which interferes with the potential victim's right to honour. It is already fulfilled by expressing contempt or disrespect through the allegation of shortcomings that could reduce the victim’s social standing.\nIs there a disparaging statement directed towards the defamatory object?\nNo → STOP (NOT criminally relevant according to §§185-187 StGB)\nYes → Step 3\n\nStep 3: A factual claim is a stetement that can be proven to be true or untrue in front of a court. A value judgment constitutes and expression of personal opinions.\nIs it primarily a value judgement and NOT primarily a factual claim?\nNo → STOP (NOT criminally relevant according to §§185-187 StGB)\nYes → Step 4\n\nStep 4: An abusive insult is a statement that constitutes breaking a taboo by itself and intends only the defamation of the victim without any substantiated contribution.\nIs the statement an abusive insult?\nYes → STOP (criminally RELEVANT according to §§185-187 StGB)\nNo → Step 5\n\nStep 5: A statement is of public interest if it contains a contribution to the public discourse with respect to a particular relevant topic of public interest.\nIs the statement of public interest?\nYes → STOP (NOT criminally relevant according to §§185-187 StGB)\nNo → Step 6\n\nStep 6: A statement is considered abusive criticism if it goes beyond plausible criticism by primarily intending to abusively offend the victim, hereby neglecting a substantiated contribution.\nIs the statement abusive criticism?\nYes → STOP (criminally RELEVANT according to §§185-187 StGB)\nNo → STOP (NOT criminally relevant according to §§185-187 StGB)\n\n\nAccording to this decision schema, decide whether the following text is criminally revant according to §§185-187 StGB (Defamatory Offense). Answer only with 'True' (criminally relevant according to §§185-187 StGB) or 'False' (not criminally relevant according to §§185-187 StGB).""}, {""role"": ""user"", ""content"": ""@anna_IIna Das sind doch alles masturbierende Pickelplatagen, keine Ahnung von Etwas...deswegen werden sie bestimmt Berufspolitiker..😃😃""}]",0,FP
305,@Heinrich_Krug Na klar kriegt der Lob von allen Seiten...ist ja ein Merkel-Blindenhund. |LBR| Wollt ihr tatsächliche Opfer sehen dann geht auf Friedhöfe oder sprecht mit den Angehörigen..!,False,True, True,"[{""role"": ""system"", ""content"": ""You are a legal expert for defamatory offenses according the the German Criminal Code (§§185-187 StGB). Help the user decide whether given posts fall within in the scope of these articles.""}, {""role"": ""user"", ""content"": ""Step 1: A defamatory object can be a living individual, a group of persons that is distinguishable from the general public such that every member of that group could feel their honor is infringed or collective entities such as governments or press companies with a recognised social role and who act with a collective, single will.\nIs there a defamatory object in this statement? \nNo → STOP (NOT criminally relevant according to §§185-187 StGB)\nYes → Step 2\n\nStep 2: A disparaging statement is a statement which interferes with the potential victim's right to honour. It is already fulfilled by expressing contempt or disrespect through the allegation of shortcomings that could reduce the victim’s social standing.\nIs there a disparaging statement directed towards the defamatory object?\nNo → STOP (NOT criminally relevant according to §§185-187 StGB)\nYes → Step 3\n\nStep 3: A factual claim is a stetement that can be proven to be true or untrue in front of a court. A value judgment constitutes and expression of personal opinions.\nIs it primarily a value judgement and NOT primarily a factual claim?\nNo → STOP (NOT criminally relevant according to §§185-187 StGB)\nYes → Step 4\n\nStep 4: An abusive insult is a statement that constitutes breaking a taboo by itself and intends only the defamation of the victim without any substantiated contribution.\nIs the statement an abusive insult?\nYes → STOP (criminally RELEVANT according to §§185-187 StGB)\nNo → Step 5\n\nStep 5: A statement is of public interest if it contains a contribution to the public discourse with respect to a particular relevant topic of public interest.\nIs the statement of public interest?\nYes → STOP (NOT criminally relevant according to §§185-187 StGB)\nNo → Step 6\n\nStep 6: A statement is considered abusive criticism if it goes beyond plausible criticism by primarily intending to abusively offend the victim, hereby neglecting a substantiated contribution.\nIs the statement abusive criticism?\nYes → STOP (criminally RELEVANT according to §§185-187 StGB)\nNo → STOP (NOT criminally relevant according to §§185-187 StGB)\n\n\nAccording to this decision schema, decide whether the following text is criminally revant according to §§185-187 StGB (Defamatory Offense). Answer only with 'True' (criminally relevant according to §§185-187 StGB) or 'False' (not criminally relevant according to §§185-187 StGB).""}, {""role"": ""user"", ""content"": ""@Heinrich_Krug Na klar kriegt der Lob von allen Seiten...ist ja ein Merkel-Blindenhund. |LBR| Wollt ihr tatsächliche Opfer sehen dann geht auf Friedhöfe oder sprecht mit den Angehörigen..!""}]",3,FP
355,Irgendwie verständlich daß Berlusconi diesen #Schulz mit einem KZ-Aufseher verglich.,True,False, False,"[{""role"": ""system"", ""content"": ""You are a legal expert for defamatory offenses according the the German Criminal Code (§§185-187 StGB). Help the user decide whether given posts fall within in the scope of these articles.""}, {""role"": ""user"", ""content"": ""Step 1: A defamatory object can be a living individual, a group of persons that is distinguishable from the general public such that every member of that group could feel their honor is infringed or collective entities such as governments or press companies with a recognised social role and who act with a collective, single will.\nIs there a defamatory object in this statement? \nNo → STOP (NOT criminally relevant according to §§185-187 StGB)\nYes → Step 2\n\nStep 2: A disparaging statement is a statement which interferes with the potential victim's right to honour. It is already fulfilled by expressing contempt or disrespect through the allegation of shortcomings that could reduce the victim’s social standing.\nIs there a disparaging statement directed towards the defamatory object?\nNo → STOP (NOT criminally relevant according to §§185-187 StGB)\nYes → Step 3\n\nStep 3: A factual claim is a stetement that can be proven to be true or untrue in front of a court. A value judgment constitutes and expression of personal opinions.\nIs it primarily a value judgement and NOT primarily a factual claim?\nNo → STOP (NOT criminally relevant according to §§185-187 StGB)\nYes → Step 4\n\nStep 4: An abusive insult is a statement that constitutes breaking a taboo by itself and intends only the defamation of the victim without any substantiated contribution.\nIs the statement an abusive insult?\nYes → STOP (criminally RELEVANT according to §§185-187 StGB)\nNo → Step 5\n\nStep 5: A statement is of public interest if it contains a contribution to the public discourse with respect to a particular relevant topic of public interest.\nIs the statement of public interest?\nYes → STOP (NOT criminally relevant according to §§185-187 StGB)\nNo → Step 6\n\nStep 6: A statement is considered abusive criticism if it goes beyond plausible criticism by primarily intending to abusively offend the victim, hereby neglecting a substantiated contribution.\nIs the statement abusive criticism?\nYes → STOP (criminally RELEVANT according to §§185-187 StGB)\nNo → STOP (NOT criminally relevant according to §§185-187 StGB)\n\n\nAccording to this decision schema, decide whether the following text is criminally revant according to §§185-187 StGB (Defamatory Offense). Answer only with 'True' (criminally relevant according to §§185-187 StGB) or 'False' (not criminally relevant according to §§185-187 StGB).""}, {""role"": ""user"", ""content"": ""Irgendwie verständlich daß Berlusconi diesen #Schulz mit einem KZ-Aufseher verglich.""}]",0,FN
356,"Und zu dir,H,MAAS,am frühen Morgen, tust du nicht so wie das Volk es will, so lecke es am ARSCHE !(f.n.G.v.B) Lauf Forrest !!",True,False, False,"[{""role"": ""system"", ""content"": ""You are a legal expert for defamatory offenses according the the German Criminal Code (§§185-187 StGB). Help the user decide whether given posts fall within in the scope of these articles.""}, {""role"": ""user"", ""content"": ""Step 1: A defamatory object can be a living individual, a group of persons that is distinguishable from the general public such that every member of that group could feel their honor is infringed or collective entities such as governments or press companies with a recognised social role and who act with a collective, single will.\nIs there a defamatory object in this statement? \nNo → STOP (NOT criminally relevant according to §§185-187 StGB)\nYes → Step 2\n\nStep 2: A disparaging statement is a statement which interferes with the potential victim's right to honour. It is already fulfilled by expressing contempt or disrespect through the allegation of shortcomings that could reduce the victim’s social standing.\nIs there a disparaging statement directed towards the defamatory object?\nNo → STOP (NOT criminally relevant according to §§185-187 StGB)\nYes → Step 3\n\nStep 3: A factual claim is a stetement that can be proven to be true or untrue in front of a court. A value judgment constitutes and expression of personal opinions.\nIs it primarily a value judgement and NOT primarily a factual claim?\nNo → STOP (NOT criminally relevant according to §§185-187 StGB)\nYes → Step 4\n\nStep 4: An abusive insult is a statement that constitutes breaking a taboo by itself and intends only the defamation of the victim without any substantiated contribution.\nIs the statement an abusive insult?\nYes → STOP (criminally RELEVANT according to §§185-187 StGB)\nNo → Step 5\n\nStep 5: A statement is of public interest if it contains a contribution to the public discourse with respect to a particular relevant topic of public interest.\nIs the statement of public interest?\nYes → STOP (NOT criminally relevant according to §§185-187 StGB)\nNo → Step 6\n\nStep 6: A statement is considered abusive criticism if it goes beyond plausible criticism by primarily intending to abusively offend the victim, hereby neglecting a substantiated contribution.\nIs the statement abusive criticism?\nYes → STOP (criminally RELEVANT according to §§185-187 StGB)\nNo → STOP (NOT criminally relevant according to §§185-187 StGB)\n\n\nAccording to this decision schema, decide whether the following text is criminally revant according to §§185-187 StGB (Defamatory Offense). Answer only with 'True' (criminally relevant according to §§185-187 StGB) or 'False' (not criminally relevant according to §§185-187 StGB).""}, {""role"": ""user"", ""content"": ""Und zu dir,H,MAAS,am frühen Morgen, tust du nicht so wie das Volk es will, so lecke es am ARSCHE !(f.n.G.v.B) Lauf Forrest !!""}]",3,FN
411,"@Ralf_Stegner Sie sind leider ohne Bildung und ohne orthographische |LBR| Grundkenntnisse berechtigt, Ihren politischen Müll hinauszuonanieren.",False,True, True,"[{""role"": ""system"", ""content"": ""You are a legal expert for defamatory offenses according the the German Criminal Code (§§185-187 StGB). Help the user decide whether given posts fall within in the scope of these articles.""}, {""role"": ""user"", ""content"": ""Step 1: A defamatory object can be a living individual, a group of persons that is distinguishable from the general public such that every member of that group could feel their honor is infringed or collective entities such as governments or press companies with a recognised social role and who act with a collective, single will.\nIs there a defamatory object in this statement? \nNo → STOP (NOT criminally relevant according to §§185-187 StGB)\nYes → Step 2\n\nStep 2: A disparaging statement is a statement which interferes with the potential victim's right to honour. It is already fulfilled by expressing contempt or disrespect through the allegation of shortcomings that could reduce the victim’s social standing.\nIs there a disparaging statement directed towards the defamatory object?\nNo → STOP (NOT criminally relevant according to §§185-187 StGB)\nYes → Step 3\n\nStep 3: A factual claim is a stetement that can be proven to be true or untrue in front of a court. A value judgment constitutes and expression of personal opinions.\nIs it primarily a value judgement and NOT primarily a factual claim?\nNo → STOP (NOT criminally relevant according to §§185-187 StGB)\nYes → Step 4\n\nStep 4: An abusive insult is a statement that constitutes breaking a taboo by itself and intends only the defamation of the victim without any substantiated contribution.\nIs the statement an abusive insult?\nYes → STOP (criminally RELEVANT according to §§185-187 StGB)\nNo → Step 5\n\nStep 5: A statement is of public interest if it contains a contribution to the public discourse with respect to a particular relevant topic of public interest.\nIs the statement of public interest?\nYes → STOP (NOT criminally relevant according to §§185-187 StGB)\nNo → Step 6\n\nStep 6: A statement is considered abusive criticism if it goes beyond plausible criticism by primarily intending to abusively offend the victim, hereby neglecting a substantiated contribution.\nIs the statement abusive criticism?\nYes → STOP (criminally RELEVANT according to §§185-187 StGB)\nNo → STOP (NOT criminally relevant according to §§185-187 StGB)\n\n\nAccording to this decision schema, decide whether the following text is criminally revant according to §§185-187 StGB (Defamatory Offense). Answer only with 'True' (criminally relevant according to §§185-187 StGB) or 'False' (not criminally relevant according to §§185-187 StGB).""}, {""role"": ""user"", ""content"": ""@Ralf_Stegner Sie sind leider ohne Bildung und ohne orthographische |LBR| Grundkenntnisse berechtigt, Ihren politischen Müll hinauszuonanieren.""}]",2,FP
