id,description,DEF,predicted_label,reply,prompt
882706335101124,"Die letzten Sätze machen mich da wütend ""JUNGE MÄNNER "". 

Warum sind eigentlich die meisten Flüchtlinge junge Männer ?? Weil keine Kinder und Frauen ?? Die hätten es viel mehr nötig. 

Stattdessen holen wir uns solche rein die schon im Heim gewalttätig sind ;) 

Aber das kommt davon wenn man Menschen in ein Land steckt das ihnen 20 Jahre voraus ist. Man lässt auch keinen Wilden Wolf in eine Wohnsiedlung ...",False,False, False,"[{""role"": ""system"", ""content"": ""You are a legal expert for defamatory offenses according the the German Criminal Code (§§185-187 StGB). Help the user decide whether given posts fall within in the scope of these articles.""}, {""role"": ""user"", ""content"": ""Step 1: A defamatory object can be a living individual, a group of persons that is distinguishable from the general public such that every member of that group could feel their honor is infringed or collective entities such as governments or press companies with a recognised social role and who act with a collective, single will.\nIs there a defamatory object in this statement? \nNo → STOP (NOT criminally relevant according to §§185-187 StGB)\nYes → Step 2\n\nStep 2: A disparaging statement is a statement which interferes with the potential victim's right to honour. It is already fulfilled by expressing contempt or disrespect through the allegation of shortcomings that could reduce the victim’s social standing.\nIs there a disparaging statement directed towards the defamatory object?\nNo → STOP (NOT criminally relevant according to §§185-187 StGB)\nYes → Step 3\n\nStep 3: A factual claim is a stetement that can be proven to be true or untrue in front of a court. A value judgment constitutes and expression of personal opinions.\nIs it primarily a value judgement and NOT primarily a factual claim?\nNo → STOP (NOT criminally relevant according to §§185-187 StGB)\nYes → Step 4\n\nStep 4: An abusive insult is a statement that constitutes breaking a taboo by itself and intends only the defamation of the victim without any substantiated contribution.\nIs the statement an abusive insult?\nYes → STOP (criminally RELEVANT according to §§185-187 StGB)\nNo → Step 5\n\nStep 5: A statement is of public interest if it contains a contribution to the public discourse with respect to a particular relevant topic of public interest.\nIs the statement of public interest?\nYes → STOP (NOT criminally relevant according to §§185-187 StGB)\nNo → Step 6\n\nStep 6: A statement is considered abusive criticism if it goes beyond plausible criticism by primarily intending to abusively offend the victim, hereby neglecting a substantiated contribution.\nIs the statement abusive criticism?\nYes → STOP (criminally RELEVANT according to §§185-187 StGB)\nNo → STOP (NOT criminally relevant according to §§185-187 StGB)\n\n\nAccording to this decision schema, decide whether the following text is criminally revant according to §§185-187 StGB (Defamatory Offense). Answer only with 'True' (criminally relevant according to §§185-187 StGB) or 'False' (not criminally relevant according to §§185-187 StGB).""}, {""role"": ""user"", ""content"": ""Die letzten Sätze machen mich da wütend \""JUNGE MÄNNER \"". \r\n\r\nWarum sind eigentlich die meisten Flüchtlinge junge Männer ?? Weil keine Kinder und Frauen ?? Die hätten es viel mehr nötig. \r\n\r\nStattdessen holen wir uns solche rein die schon im Heim gewalttätig sind ;) \r\n\r\nAber das kommt davon wenn man Menschen in ein Land steckt das ihnen 20 Jahre voraus ist. Man lässt auch keinen Wilden Wolf in eine Wohnsiedlung ...""}]"
1056669754371447,"Rosi Meyer Volksverhetzung?  Dieses Gesindel welches für das Deutsche Volk dasein sollte und für was sie reichlich bezahlt werden,sollte wegen Volks und Landesverrat vor Gericht getrieben werden.",False,False, False,"[{""role"": ""system"", ""content"": ""You are a legal expert for defamatory offenses according the the German Criminal Code (§§185-187 StGB). Help the user decide whether given posts fall within in the scope of these articles.""}, {""role"": ""user"", ""content"": ""Step 1: A defamatory object can be a living individual, a group of persons that is distinguishable from the general public such that every member of that group could feel their honor is infringed or collective entities such as governments or press companies with a recognised social role and who act with a collective, single will.\nIs there a defamatory object in this statement? \nNo → STOP (NOT criminally relevant according to §§185-187 StGB)\nYes → Step 2\n\nStep 2: A disparaging statement is a statement which interferes with the potential victim's right to honour. It is already fulfilled by expressing contempt or disrespect through the allegation of shortcomings that could reduce the victim’s social standing.\nIs there a disparaging statement directed towards the defamatory object?\nNo → STOP (NOT criminally relevant according to §§185-187 StGB)\nYes → Step 3\n\nStep 3: A factual claim is a stetement that can be proven to be true or untrue in front of a court. A value judgment constitutes and expression of personal opinions.\nIs it primarily a value judgement and NOT primarily a factual claim?\nNo → STOP (NOT criminally relevant according to §§185-187 StGB)\nYes → Step 4\n\nStep 4: An abusive insult is a statement that constitutes breaking a taboo by itself and intends only the defamation of the victim without any substantiated contribution.\nIs the statement an abusive insult?\nYes → STOP (criminally RELEVANT according to §§185-187 StGB)\nNo → Step 5\n\nStep 5: A statement is of public interest if it contains a contribution to the public discourse with respect to a particular relevant topic of public interest.\nIs the statement of public interest?\nYes → STOP (NOT criminally relevant according to §§185-187 StGB)\nNo → Step 6\n\nStep 6: A statement is considered abusive criticism if it goes beyond plausible criticism by primarily intending to abusively offend the victim, hereby neglecting a substantiated contribution.\nIs the statement abusive criticism?\nYes → STOP (criminally RELEVANT according to §§185-187 StGB)\nNo → STOP (NOT criminally relevant according to §§185-187 StGB)\n\n\nAccording to this decision schema, decide whether the following text is criminally revant according to §§185-187 StGB (Defamatory Offense). Answer only with 'True' (criminally relevant according to §§185-187 StGB) or 'False' (not criminally relevant according to §§185-187 StGB).""}, {""role"": ""user"", ""content"": ""Rosi Meyer Volksverhetzung?  Dieses Gesindel welches für das Deutsche Volk dasein sollte und für was sie reichlich bezahlt werden,sollte wegen Volks und Landesverrat vor Gericht getrieben werden.""}]"
554,"@franzchristian8 Mir reicht, dass ich diesen Feigling aus Rostock 1989/90 kenne. Er wurde ins ""Licht"" geschoben, dieser Gauckler 😜",False,False, False,"[{""role"": ""system"", ""content"": ""You are a legal expert for defamatory offenses according the the German Criminal Code (§§185-187 StGB). Help the user decide whether given posts fall within in the scope of these articles.""}, {""role"": ""user"", ""content"": ""Step 1: A defamatory object can be a living individual, a group of persons that is distinguishable from the general public such that every member of that group could feel their honor is infringed or collective entities such as governments or press companies with a recognised social role and who act with a collective, single will.\nIs there a defamatory object in this statement? \nNo → STOP (NOT criminally relevant according to §§185-187 StGB)\nYes → Step 2\n\nStep 2: A disparaging statement is a statement which interferes with the potential victim's right to honour. It is already fulfilled by expressing contempt or disrespect through the allegation of shortcomings that could reduce the victim’s social standing.\nIs there a disparaging statement directed towards the defamatory object?\nNo → STOP (NOT criminally relevant according to §§185-187 StGB)\nYes → Step 3\n\nStep 3: A factual claim is a stetement that can be proven to be true or untrue in front of a court. A value judgment constitutes and expression of personal opinions.\nIs it primarily a value judgement and NOT primarily a factual claim?\nNo → STOP (NOT criminally relevant according to §§185-187 StGB)\nYes → Step 4\n\nStep 4: An abusive insult is a statement that constitutes breaking a taboo by itself and intends only the defamation of the victim without any substantiated contribution.\nIs the statement an abusive insult?\nYes → STOP (criminally RELEVANT according to §§185-187 StGB)\nNo → Step 5\n\nStep 5: A statement is of public interest if it contains a contribution to the public discourse with respect to a particular relevant topic of public interest.\nIs the statement of public interest?\nYes → STOP (NOT criminally relevant according to §§185-187 StGB)\nNo → Step 6\n\nStep 6: A statement is considered abusive criticism if it goes beyond plausible criticism by primarily intending to abusively offend the victim, hereby neglecting a substantiated contribution.\nIs the statement abusive criticism?\nYes → STOP (criminally RELEVANT according to §§185-187 StGB)\nNo → STOP (NOT criminally relevant according to §§185-187 StGB)\n\n\nAccording to this decision schema, decide whether the following text is criminally revant according to §§185-187 StGB (Defamatory Offense). Answer only with 'True' (criminally relevant according to §§185-187 StGB) or 'False' (not criminally relevant according to §§185-187 StGB).""}, {""role"": ""user"", ""content"": ""@franzchristian8 Mir reicht, dass ich diesen Feigling aus Rostock 1989/90 kenne. Er wurde ins \""Licht\"" geschoben, dieser Gauckler 😜""}]"
1012231332148623,"ACHTUNG FAKEBILD! 

?????? Was für peinliche Schwachköpfe da wieder ihren geistigen Müll ablassen,einfach sensationell! Da wollen sich linksgrünfaschistische Volldeppen mit einem Fakebild über uns lustig machen und machen sich damit selbst herrlich zum Gespött der Nation! ??????

Diese geistigen Tiefflieger haben wirklich null Peilung und wissen offensichtlich nicht wofür ""Striezel"" und Striezelmarkt steht? 

Hey Ihr Luftpumpen, kurze Aufklärung über die Kultur und christliche Werte, das Christbrot, auch Striezel oder Stollen genannt, gab dem am Montag vor Weihnachten stattfindenden Markt um 1500 den Namen Striezelmontag! 

Der Christstollen oder Weihnachtsstollen ist ein brotähnlicher Kuchen, der – dick mit Puderzucker bedeckt – an das gewickelte Christkind erinnern soll. 

Der Name STRIEZELMARKT steht also genau wie Weihnachtsmarkt ganz klar für die christlich geprägte Kultur des Abendlandes!

#HooligansGegenSatzbauIQ0 ##MerktEuchDieNamen #LinksfaschistenStoppen #KeinFussBreitLinkenFaschisten #SAntifa",True,False, False,"[{""role"": ""system"", ""content"": ""You are a legal expert for defamatory offenses according the the German Criminal Code (§§185-187 StGB). Help the user decide whether given posts fall within in the scope of these articles.""}, {""role"": ""user"", ""content"": ""Step 1: A defamatory object can be a living individual, a group of persons that is distinguishable from the general public such that every member of that group could feel their honor is infringed or collective entities such as governments or press companies with a recognised social role and who act with a collective, single will.\nIs there a defamatory object in this statement? \nNo → STOP (NOT criminally relevant according to §§185-187 StGB)\nYes → Step 2\n\nStep 2: A disparaging statement is a statement which interferes with the potential victim's right to honour. It is already fulfilled by expressing contempt or disrespect through the allegation of shortcomings that could reduce the victim’s social standing.\nIs there a disparaging statement directed towards the defamatory object?\nNo → STOP (NOT criminally relevant according to §§185-187 StGB)\nYes → Step 3\n\nStep 3: A factual claim is a stetement that can be proven to be true or untrue in front of a court. A value judgment constitutes and expression of personal opinions.\nIs it primarily a value judgement and NOT primarily a factual claim?\nNo → STOP (NOT criminally relevant according to §§185-187 StGB)\nYes → Step 4\n\nStep 4: An abusive insult is a statement that constitutes breaking a taboo by itself and intends only the defamation of the victim without any substantiated contribution.\nIs the statement an abusive insult?\nYes → STOP (criminally RELEVANT according to §§185-187 StGB)\nNo → Step 5\n\nStep 5: A statement is of public interest if it contains a contribution to the public discourse with respect to a particular relevant topic of public interest.\nIs the statement of public interest?\nYes → STOP (NOT criminally relevant according to §§185-187 StGB)\nNo → Step 6\n\nStep 6: A statement is considered abusive criticism if it goes beyond plausible criticism by primarily intending to abusively offend the victim, hereby neglecting a substantiated contribution.\nIs the statement abusive criticism?\nYes → STOP (criminally RELEVANT according to §§185-187 StGB)\nNo → STOP (NOT criminally relevant according to §§185-187 StGB)\n\n\nAccording to this decision schema, decide whether the following text is criminally revant according to §§185-187 StGB (Defamatory Offense). Answer only with 'True' (criminally relevant according to §§185-187 StGB) or 'False' (not criminally relevant according to §§185-187 StGB).""}, {""role"": ""user"", ""content"": ""ACHTUNG FAKEBILD! \r\n\r\n?????? Was für peinliche Schwachköpfe da wieder ihren geistigen Müll ablassen,einfach sensationell! Da wollen sich linksgrünfaschistische Volldeppen mit einem Fakebild über uns lustig machen und machen sich damit selbst herrlich zum Gespött der Nation! ??????\r\n\r\nDiese geistigen Tiefflieger haben wirklich null Peilung und wissen offensichtlich nicht wofür \""Striezel\"" und Striezelmarkt steht? \r\n\r\nHey Ihr Luftpumpen, kurze Aufklärung über die Kultur und christliche Werte, das Christbrot, auch Striezel oder Stollen genannt, gab dem am Montag vor Weihnachten stattfindenden Markt um 1500 den Namen Striezelmontag! \r\n\r\nDer Christstollen oder Weihnachtsstollen ist ein brotähnlicher Kuchen, der – dick mit Puderzucker bedeckt – an das gewickelte Christkind erinnern soll. \r\n\r\nDer Name STRIEZELMARKT steht also genau wie Weihnachtsmarkt ganz klar für die christlich geprägte Kultur des Abendlandes!\r\n\r\n#HooligansGegenSatzbauIQ0 ##MerktEuchDieNamen #LinksfaschistenStoppen #KeinFussBreitLinkenFaschisten #SAntifa""}]"
1704,@Satokolover88 Sexxe ratte,True,False, False,"[{""role"": ""system"", ""content"": ""You are a legal expert for defamatory offenses according the the German Criminal Code (§§185-187 StGB). Help the user decide whether given posts fall within in the scope of these articles.""}, {""role"": ""user"", ""content"": ""Step 1: A defamatory object can be a living individual, a group of persons that is distinguishable from the general public such that every member of that group could feel their honor is infringed or collective entities such as governments or press companies with a recognised social role and who act with a collective, single will.\nIs there a defamatory object in this statement? \nNo → STOP (NOT criminally relevant according to §§185-187 StGB)\nYes → Step 2\n\nStep 2: A disparaging statement is a statement which interferes with the potential victim's right to honour. It is already fulfilled by expressing contempt or disrespect through the allegation of shortcomings that could reduce the victim’s social standing.\nIs there a disparaging statement directed towards the defamatory object?\nNo → STOP (NOT criminally relevant according to §§185-187 StGB)\nYes → Step 3\n\nStep 3: A factual claim is a stetement that can be proven to be true or untrue in front of a court. A value judgment constitutes and expression of personal opinions.\nIs it primarily a value judgement and NOT primarily a factual claim?\nNo → STOP (NOT criminally relevant according to §§185-187 StGB)\nYes → Step 4\n\nStep 4: An abusive insult is a statement that constitutes breaking a taboo by itself and intends only the defamation of the victim without any substantiated contribution.\nIs the statement an abusive insult?\nYes → STOP (criminally RELEVANT according to §§185-187 StGB)\nNo → Step 5\n\nStep 5: A statement is of public interest if it contains a contribution to the public discourse with respect to a particular relevant topic of public interest.\nIs the statement of public interest?\nYes → STOP (NOT criminally relevant according to §§185-187 StGB)\nNo → Step 6\n\nStep 6: A statement is considered abusive criticism if it goes beyond plausible criticism by primarily intending to abusively offend the victim, hereby neglecting a substantiated contribution.\nIs the statement abusive criticism?\nYes → STOP (criminally RELEVANT according to §§185-187 StGB)\nNo → STOP (NOT criminally relevant according to §§185-187 StGB)\n\n\nAccording to this decision schema, decide whether the following text is criminally revant according to §§185-187 StGB (Defamatory Offense). Answer only with 'True' (criminally relevant according to §§185-187 StGB) or 'False' (not criminally relevant according to §§185-187 StGB).""}, {""role"": ""user"", ""content"": ""@Satokolover88 Sexxe ratte""}]"
982702985101458,"Die Schneider hat doch den Knall noch nicht gehört , spätestens wen Ali und Mustafa sich so richtig an ihr vergehen dann ist das Geschrei groß , Schrei aber bitte nicht um Hilfe und lass es über dich ergehen .. Oder die Schneider  steht uff Asylantenschwänze dann wäre ihr dämlicher Kommentar plausibel ...!!!",True,False, False,"[{""role"": ""system"", ""content"": ""You are a legal expert for defamatory offenses according the the German Criminal Code (§§185-187 StGB). Help the user decide whether given posts fall within in the scope of these articles.""}, {""role"": ""user"", ""content"": ""Step 1: A defamatory object can be a living individual, a group of persons that is distinguishable from the general public such that every member of that group could feel their honor is infringed or collective entities such as governments or press companies with a recognised social role and who act with a collective, single will.\nIs there a defamatory object in this statement? \nNo → STOP (NOT criminally relevant according to §§185-187 StGB)\nYes → Step 2\n\nStep 2: A disparaging statement is a statement which interferes with the potential victim's right to honour. It is already fulfilled by expressing contempt or disrespect through the allegation of shortcomings that could reduce the victim’s social standing.\nIs there a disparaging statement directed towards the defamatory object?\nNo → STOP (NOT criminally relevant according to §§185-187 StGB)\nYes → Step 3\n\nStep 3: A factual claim is a stetement that can be proven to be true or untrue in front of a court. A value judgment constitutes and expression of personal opinions.\nIs it primarily a value judgement and NOT primarily a factual claim?\nNo → STOP (NOT criminally relevant according to §§185-187 StGB)\nYes → Step 4\n\nStep 4: An abusive insult is a statement that constitutes breaking a taboo by itself and intends only the defamation of the victim without any substantiated contribution.\nIs the statement an abusive insult?\nYes → STOP (criminally RELEVANT according to §§185-187 StGB)\nNo → Step 5\n\nStep 5: A statement is of public interest if it contains a contribution to the public discourse with respect to a particular relevant topic of public interest.\nIs the statement of public interest?\nYes → STOP (NOT criminally relevant according to §§185-187 StGB)\nNo → Step 6\n\nStep 6: A statement is considered abusive criticism if it goes beyond plausible criticism by primarily intending to abusively offend the victim, hereby neglecting a substantiated contribution.\nIs the statement abusive criticism?\nYes → STOP (criminally RELEVANT according to §§185-187 StGB)\nNo → STOP (NOT criminally relevant according to §§185-187 StGB)\n\n\nAccording to this decision schema, decide whether the following text is criminally revant according to §§185-187 StGB (Defamatory Offense). Answer only with 'True' (criminally relevant according to §§185-187 StGB) or 'False' (not criminally relevant according to §§185-187 StGB).""}, {""role"": ""user"", ""content"": ""Die Schneider hat doch den Knall noch nicht gehört , spätestens wen Ali und Mustafa sich so richtig an ihr vergehen dann ist das Geschrei groß , Schrei aber bitte nicht um Hilfe und lass es über dich ergehen .. Oder die Schneider  steht uff Asylantenschwänze dann wäre ihr dämlicher Kommentar plausibel ...!!!""}]"
979,"Oh Gott, sehe gerade Laschet in den n-tv Nachrichten, ich glaube ich muss ko***, mir ist schlecht 🤢🤢🤢",True,False, False,"[{""role"": ""system"", ""content"": ""You are a legal expert for defamatory offenses according the the German Criminal Code (§§185-187 StGB). Help the user decide whether given posts fall within in the scope of these articles.""}, {""role"": ""user"", ""content"": ""Step 1: A defamatory object can be a living individual, a group of persons that is distinguishable from the general public such that every member of that group could feel their honor is infringed or collective entities such as governments or press companies with a recognised social role and who act with a collective, single will.\nIs there a defamatory object in this statement? \nNo → STOP (NOT criminally relevant according to §§185-187 StGB)\nYes → Step 2\n\nStep 2: A disparaging statement is a statement which interferes with the potential victim's right to honour. It is already fulfilled by expressing contempt or disrespect through the allegation of shortcomings that could reduce the victim’s social standing.\nIs there a disparaging statement directed towards the defamatory object?\nNo → STOP (NOT criminally relevant according to §§185-187 StGB)\nYes → Step 3\n\nStep 3: A factual claim is a stetement that can be proven to be true or untrue in front of a court. A value judgment constitutes and expression of personal opinions.\nIs it primarily a value judgement and NOT primarily a factual claim?\nNo → STOP (NOT criminally relevant according to §§185-187 StGB)\nYes → Step 4\n\nStep 4: An abusive insult is a statement that constitutes breaking a taboo by itself and intends only the defamation of the victim without any substantiated contribution.\nIs the statement an abusive insult?\nYes → STOP (criminally RELEVANT according to §§185-187 StGB)\nNo → Step 5\n\nStep 5: A statement is of public interest if it contains a contribution to the public discourse with respect to a particular relevant topic of public interest.\nIs the statement of public interest?\nYes → STOP (NOT criminally relevant according to §§185-187 StGB)\nNo → Step 6\n\nStep 6: A statement is considered abusive criticism if it goes beyond plausible criticism by primarily intending to abusively offend the victim, hereby neglecting a substantiated contribution.\nIs the statement abusive criticism?\nYes → STOP (criminally RELEVANT according to §§185-187 StGB)\nNo → STOP (NOT criminally relevant according to §§185-187 StGB)\n\n\nAccording to this decision schema, decide whether the following text is criminally revant according to §§185-187 StGB (Defamatory Offense). Answer only with 'True' (criminally relevant according to §§185-187 StGB) or 'False' (not criminally relevant according to §§185-187 StGB).""}, {""role"": ""user"", ""content"": ""Oh Gott, sehe gerade Laschet in den n-tv Nachrichten, ich glaube ich muss ko***, mir ist schlecht 🤢🤢🤢""}]"
1057942087577547,"Wieso bloß haben die verantwortungsvolle Politiker und wir dagegen NUR die Osttrulla, die Misere,die Leyen,Gabriel die Schwabbelwurscht,den Vollhorscht, Maasmännchen etc.???",True,False, False,"[{""role"": ""system"", ""content"": ""You are a legal expert for defamatory offenses according the the German Criminal Code (§§185-187 StGB). Help the user decide whether given posts fall within in the scope of these articles.""}, {""role"": ""user"", ""content"": ""Step 1: A defamatory object can be a living individual, a group of persons that is distinguishable from the general public such that every member of that group could feel their honor is infringed or collective entities such as governments or press companies with a recognised social role and who act with a collective, single will.\nIs there a defamatory object in this statement? \nNo → STOP (NOT criminally relevant according to §§185-187 StGB)\nYes → Step 2\n\nStep 2: A disparaging statement is a statement which interferes with the potential victim's right to honour. It is already fulfilled by expressing contempt or disrespect through the allegation of shortcomings that could reduce the victim’s social standing.\nIs there a disparaging statement directed towards the defamatory object?\nNo → STOP (NOT criminally relevant according to §§185-187 StGB)\nYes → Step 3\n\nStep 3: A factual claim is a stetement that can be proven to be true or untrue in front of a court. A value judgment constitutes and expression of personal opinions.\nIs it primarily a value judgement and NOT primarily a factual claim?\nNo → STOP (NOT criminally relevant according to §§185-187 StGB)\nYes → Step 4\n\nStep 4: An abusive insult is a statement that constitutes breaking a taboo by itself and intends only the defamation of the victim without any substantiated contribution.\nIs the statement an abusive insult?\nYes → STOP (criminally RELEVANT according to §§185-187 StGB)\nNo → Step 5\n\nStep 5: A statement is of public interest if it contains a contribution to the public discourse with respect to a particular relevant topic of public interest.\nIs the statement of public interest?\nYes → STOP (NOT criminally relevant according to §§185-187 StGB)\nNo → Step 6\n\nStep 6: A statement is considered abusive criticism if it goes beyond plausible criticism by primarily intending to abusively offend the victim, hereby neglecting a substantiated contribution.\nIs the statement abusive criticism?\nYes → STOP (criminally RELEVANT according to §§185-187 StGB)\nNo → STOP (NOT criminally relevant according to §§185-187 StGB)\n\n\nAccording to this decision schema, decide whether the following text is criminally revant according to §§185-187 StGB (Defamatory Offense). Answer only with 'True' (criminally relevant according to §§185-187 StGB) or 'False' (not criminally relevant according to §§185-187 StGB).""}, {""role"": ""user"", ""content"": ""Wieso bloß haben die verantwortungsvolle Politiker und wir dagegen NUR die Osttrulla, die Misere,die Leyen,Gabriel die Schwabbelwurscht,den Vollhorscht, Maasmännchen etc.???""}]"
1084369288268160,"Warum gibt es überhaupt den ZDM,nur um Terroristen zu schützen.Dann müsste es auch einen ZDA ,Zentralrat der Ateisten,geben.Wenn er seinen Glauben vertreten will dann soll er bitte dort hin gehen wo er entstanden ist.Und seine Sprengfreudigen Brüder gleich mitnehmen.",False,False, False,"[{""role"": ""system"", ""content"": ""You are a legal expert for defamatory offenses according the the German Criminal Code (§§185-187 StGB). Help the user decide whether given posts fall within in the scope of these articles.""}, {""role"": ""user"", ""content"": ""Step 1: A defamatory object can be a living individual, a group of persons that is distinguishable from the general public such that every member of that group could feel their honor is infringed or collective entities such as governments or press companies with a recognised social role and who act with a collective, single will.\nIs there a defamatory object in this statement? \nNo → STOP (NOT criminally relevant according to §§185-187 StGB)\nYes → Step 2\n\nStep 2: A disparaging statement is a statement which interferes with the potential victim's right to honour. It is already fulfilled by expressing contempt or disrespect through the allegation of shortcomings that could reduce the victim’s social standing.\nIs there a disparaging statement directed towards the defamatory object?\nNo → STOP (NOT criminally relevant according to §§185-187 StGB)\nYes → Step 3\n\nStep 3: A factual claim is a stetement that can be proven to be true or untrue in front of a court. A value judgment constitutes and expression of personal opinions.\nIs it primarily a value judgement and NOT primarily a factual claim?\nNo → STOP (NOT criminally relevant according to §§185-187 StGB)\nYes → Step 4\n\nStep 4: An abusive insult is a statement that constitutes breaking a taboo by itself and intends only the defamation of the victim without any substantiated contribution.\nIs the statement an abusive insult?\nYes → STOP (criminally RELEVANT according to §§185-187 StGB)\nNo → Step 5\n\nStep 5: A statement is of public interest if it contains a contribution to the public discourse with respect to a particular relevant topic of public interest.\nIs the statement of public interest?\nYes → STOP (NOT criminally relevant according to §§185-187 StGB)\nNo → Step 6\n\nStep 6: A statement is considered abusive criticism if it goes beyond plausible criticism by primarily intending to abusively offend the victim, hereby neglecting a substantiated contribution.\nIs the statement abusive criticism?\nYes → STOP (criminally RELEVANT according to §§185-187 StGB)\nNo → STOP (NOT criminally relevant according to §§185-187 StGB)\n\n\nAccording to this decision schema, decide whether the following text is criminally revant according to §§185-187 StGB (Defamatory Offense). Answer only with 'True' (criminally relevant according to §§185-187 StGB) or 'False' (not criminally relevant according to §§185-187 StGB).""}, {""role"": ""user"", ""content"": ""Warum gibt es überhaupt den ZDM,nur um Terroristen zu schützen.Dann müsste es auch einen ZDA ,Zentralrat der Ateisten,geben.Wenn er seinen Glauben vertreten will dann soll er bitte dort hin gehen wo er entstanden ist.Und seine Sprengfreudigen Brüder gleich mitnehmen.""}]"
1134086343296454,"Die hat doch selber nur ein paar Selfies gemacht und kennt nicht einen Asylforder persönlich und von was für ""Flüchtlingen ""spricht diese Irre eigentlich",False,False, False,"[{""role"": ""system"", ""content"": ""You are a legal expert for defamatory offenses according the the German Criminal Code (§§185-187 StGB). Help the user decide whether given posts fall within in the scope of these articles.""}, {""role"": ""user"", ""content"": ""Step 1: A defamatory object can be a living individual, a group of persons that is distinguishable from the general public such that every member of that group could feel their honor is infringed or collective entities such as governments or press companies with a recognised social role and who act with a collective, single will.\nIs there a defamatory object in this statement? \nNo → STOP (NOT criminally relevant according to §§185-187 StGB)\nYes → Step 2\n\nStep 2: A disparaging statement is a statement which interferes with the potential victim's right to honour. It is already fulfilled by expressing contempt or disrespect through the allegation of shortcomings that could reduce the victim’s social standing.\nIs there a disparaging statement directed towards the defamatory object?\nNo → STOP (NOT criminally relevant according to §§185-187 StGB)\nYes → Step 3\n\nStep 3: A factual claim is a stetement that can be proven to be true or untrue in front of a court. A value judgment constitutes and expression of personal opinions.\nIs it primarily a value judgement and NOT primarily a factual claim?\nNo → STOP (NOT criminally relevant according to §§185-187 StGB)\nYes → Step 4\n\nStep 4: An abusive insult is a statement that constitutes breaking a taboo by itself and intends only the defamation of the victim without any substantiated contribution.\nIs the statement an abusive insult?\nYes → STOP (criminally RELEVANT according to §§185-187 StGB)\nNo → Step 5\n\nStep 5: A statement is of public interest if it contains a contribution to the public discourse with respect to a particular relevant topic of public interest.\nIs the statement of public interest?\nYes → STOP (NOT criminally relevant according to §§185-187 StGB)\nNo → Step 6\n\nStep 6: A statement is considered abusive criticism if it goes beyond plausible criticism by primarily intending to abusively offend the victim, hereby neglecting a substantiated contribution.\nIs the statement abusive criticism?\nYes → STOP (criminally RELEVANT according to §§185-187 StGB)\nNo → STOP (NOT criminally relevant according to §§185-187 StGB)\n\n\nAccording to this decision schema, decide whether the following text is criminally revant according to §§185-187 StGB (Defamatory Offense). Answer only with 'True' (criminally relevant according to §§185-187 StGB) or 'False' (not criminally relevant according to §§185-187 StGB).""}, {""role"": ""user"", ""content"": ""Die hat doch selber nur ein paar Selfies gemacht und kennt nicht einen Asylforder persönlich und von was für \""Flüchtlingen \""spricht diese Irre eigentlich""}]"
