model,prompt_mode,demo_mode,demo_size,embedding_mode,retrieval_mode,thinking_mode,fold,n_scored,n_abstained,accuracy,f1_macro,precision_true,recall_true,precision_false,recall_false
gemma-4-26B-A4B-it,implicit,dynamic,8,dense,similarity,False,2,816,0,0.8554,0.7485,0.4611,0.7981,0.967,0.8638
gemma-4-26B-A4B-it,implicit,dynamic,8,fusion,similarity,False,1,816,0,0.8529,0.7456,0.456,0.7981,0.9669,0.861
gemma-4-26B-A4B-it,description,dynamic,8,dense,mmr,False,1,816,0,0.8444,0.7426,0.4422,0.8462,0.9741,0.8441
gemma-4-26B-A4B-it,implicit,dynamic,8,dense,mmr,False,1,816,0,0.8493,0.7414,0.4486,0.7981,0.9667,0.8567
gemma-4-26B-A4B-it,implicit,dynamic,8,dense,similarity,False,3,815,0,0.8626,0.7405,0.4706,0.699,0.9532,0.8862
gemma-4-26B-A4B-it,implicit,dynamic,8,dense,mmr,False,2,816,0,0.8456,0.74,0.4427,0.8173,0.9696,0.8497
gemma-4-26B-A4B-it,implicit,dynamic,8,None,random,False,2,816,0,0.837,0.7397,0.4319,0.8846,0.9801,0.8301
gemma-4-26B-A4B-it,implicit,dynamic,8,dense,diversity,False,2,816,0,0.8407,0.7359,0.4343,0.8269,0.9709,0.8427
gemma-4-26B-A4B-it,implicit,dynamic,8,sparse,similarity,False,2,816,0,0.8358,0.7319,0.4265,0.8365,0.9722,0.8357
gemma-4-26B-A4B-it,description,dynamic,8,fusion,similarity,False,1,816,0,0.8309,0.7305,0.4206,0.8654,0.9767,0.8258
gemma-4-26B-A4B-it,implicit,dynamic,8,None,random,False,1,816,0,0.8321,0.7279,0.4203,0.8365,0.9721,0.8315
gemma-4-26B-A4B-it,description,dynamic,8,dense,similarity,False,1,816,0,0.8358,0.7278,0.4242,0.8077,0.9676,0.8399
gemma-4-26B-A4B-it,implicit,dynamic,8,dense,diversity,False,3,815,0,0.8466,0.725,0.4353,0.7184,0.955,0.8652
gemma-4-26B-A4B-it,implicit,dynamic,8,sparse,similarity,False,3,815,0,0.8417,0.7226,0.427,0.7379,0.9576,0.8567
gemma-4-26B-A4B-it,implicit,dynamic,8,fusion,similarity,False,2,816,0,0.8321,0.7224,0.4171,0.7981,0.966,0.8371
gemma-4-26B-A4B-it,implicit,dynamic,8,dense,similarity,False,1,816,0,0.8346,0.7207,0.4188,0.7692,0.9616,0.8441
gemma-4-26B-A4B-it,implicit,dynamic,8,dense,similarity,False,0,816,0,0.8456,0.7204,0.4337,0.6923,0.9508,0.868
gemma-4-26B-A4B-it,description,dynamic,8,dense,mmr,False,2,816,0,0.8235,0.7188,0.4065,0.8365,0.9718,0.8216
gemma-4-26B-A4B-it,description,dynamic,8,dense,similarity,False,0,816,0,0.8297,0.7183,0.4121,0.7885,0.9643,0.8357
gemma-4-26B-A4B-it,title,dynamic,8,fusion,similarity,False,1,816,0,0.8223,0.7162,0.4038,0.8269,0.9701,0.8216
gemma-4-26B-A4B-it,description,dynamic,8,None,random,False,1,816,0,0.8113,0.7152,0.395,0.9038,0.9827,0.7978
gemma-4-26B-A4B-it,title,dynamic,8,dense,mmr,False,2,816,0,0.8211,0.7149,0.4019,0.8269,0.9701,0.8202
gemma-4-26B-A4B-it,description,dynamic,8,dense,similarity,False,2,816,0,0.8211,0.7135,0.4009,0.8173,0.9685,0.8216
gemma-4-26B-A4B-it,implicit,dynamic,8,dense,diversity,False,0,816,0,0.8248,0.7131,0.4039,0.7885,0.9641,0.8301
gemma-4-26B-A4B-it,implicit,dynamic,8,dense,diversity,False,1,816,0,0.8199,0.7122,0.3991,0.8173,0.9685,0.8202
gemma-4-26B-A4B-it,implicit,dynamic,8,sparse,similarity,False,1,816,0,0.8211,0.7121,0.4,0.8077,0.967,0.823
gemma-4-26B-A4B-it,title,dynamic,8,dense,similarity,False,1,816,0,0.826,0.7115,0.404,0.7692,0.9612,0.8343
gemma-4-26B-A4B-it,title,dynamic,8,dense,diversity,False,1,816,0,0.8223,0.7106,0.4,0.7885,0.964,0.8272
gemma-4-26B-A4B-it,title,dynamic,8,dense,mmr,False,1,816,0,0.815,0.7099,0.3937,0.8365,0.9714,0.8118
gemma-4-26B-A4B-it,implicit,dynamic,8,None,random,False,3,815,0,0.8344,0.7097,0.4101,0.7087,0.9529,0.8525
gemma-4-26B-A4B-it,implicit,dynamic,8,dense,mmr,False,3,815,0,0.8454,0.7081,0.4248,0.6311,0.9426,0.8764
gemma-4-26B-A4B-it,title,dynamic,8,fusion,similarity,False,2,816,0,0.8174,0.7069,0.3934,0.7981,0.9653,0.8202
gemma-4-26B-A4B-it,description,dynamic,8,dense,diversity,False,1,816,0,0.8051,0.7065,0.3849,0.8846,0.9792,0.7935
gemma-4-26B-A4B-it,title,dynamic,8,None,random,False,1,816,0,0.8113,0.7062,0.3884,0.8365,0.9713,0.8076
gemma-4-26B-A4B-it,description,dynamic,8,fusion,similarity,False,3,815,0,0.8282,0.7048,0.4,0.7184,0.954,0.8441
gemma-4-26B-A4B-it,description,dynamic,8,dense,similarity,False,3,815,0,0.8344,0.7047,0.407,0.6796,0.9487,0.8567
gemma-4-26B-A4B-it,implicit,dynamic,8,fusion,similarity,False,3,815,0,0.8368,0.7039,0.4096,0.6602,0.9461,0.8624
gemma-4-26B-A4B-it,description,dynamic,8,sparse,similarity,False,2,816,0,0.8088,0.7037,0.385,0.8365,0.9712,0.8048
gemma-4-26B-A4B-it,description,dynamic,8,dense,diversity,False,2,816,0,0.7978,0.7018,0.3775,0.9038,0.9824,0.7823
gemma-4-26B-A4B-it,title,dynamic,8,dense,diversity,False,2,816,0,0.8002,0.7017,0.3786,0.8846,0.9791,0.7879
gemma-4-26B-A4B-it,implicit,dynamic,8,fusion,similarity,False,0,816,0,0.8235,0.7013,0.3947,0.7212,0.9537,0.8385
gemma-4-26B-A4B-it,implicit,dynamic,8,dense,mmr,False,0,816,0,0.8235,0.7013,0.3947,0.7212,0.9537,0.8385
gemma-4-26B-A4B-it,description,dynamic,8,fusion,similarity,False,2,816,0,0.8088,0.701,0.3829,0.8173,0.968,0.8076
gemma-4-26B-A4B-it,title,dynamic,8,dense,similarity,False,2,816,0,0.81,0.6995,0.3825,0.7981,0.9649,0.8118
gemma-4-26B-A4B-it,title,dynamic,8,None,random,False,0,816,0,0.8137,0.6988,0.3846,0.7692,0.9605,0.8202
gemma-4-26B-A4B-it,description,dynamic,8,sparse,similarity,False,0,816,0,0.8088,0.6982,0.3807,0.7981,0.9649,0.8104
gemma-4-26B-A4B-it,description,dynamic,8,dense,diversity,False,0,816,0,0.8015,0.6978,0.3761,0.8462,0.9725,0.7949
gemma-4-26B-A4B-it,description,dynamic,8,fusion,similarity,False,0,816,0,0.8125,0.6976,0.3828,0.7692,0.9605,0.8188
gemma-4-26B-A4B-it,description,dynamic,8,None,random,False,2,816,0,0.7978,0.6968,0.3734,0.8654,0.9757,0.7879
gemma-4-26B-A4B-it,title,dynamic,8,sparse,similarity,False,2,816,0,0.8015,0.6951,0.3739,0.8269,0.9693,0.7978
gemma-4-26B-A4B-it,description,dynamic,8,sparse,similarity,False,3,815,0,0.811,0.6948,0.378,0.767,0.9604,0.8174
gemma-4-26B-A4B-it,title,dynamic,8,sparse,similarity,False,1,816,0,0.8002,0.6911,0.37,0.8077,0.966,0.7992
gemma-4-26B-A4B-it,implicit,dynamic,8,None,random,False,0,816,0,0.8113,0.6903,0.3762,0.7308,0.9544,0.823
gemma-4-26B-A4B-it,description,dynamic,8,sparse,similarity,False,1,816,0,0.8002,0.6897,0.3689,0.7981,0.9645,0.8006
gemma-4-26B-A4B-it,description,dynamic,8,None,random,False,3,815,0,0.8012,0.6894,0.3677,0.7961,0.9645,0.802
gemma-4-26B-A4B-it,implicit,dynamic,8,sparse,similarity,False,0,816,0,0.8211,0.6888,0.3833,0.6635,0.945,0.8441
gemma-4-26B-A4B-it,description,dynamic,8,dense,mmr,False,3,815,0,0.8172,0.6883,0.3777,0.6893,0.949,0.8357
gemma-4-26B-A4B-it,implicit,None,0,None,None,False,0,815,1,0.8012,0.688,0.3682,0.7788,0.9613,0.8045
gemma-4-26B-A4B-it,title,dynamic,8,None,random,False,2,816,0,0.7978,0.6873,0.3656,0.7981,0.9643,0.7978
gemma-4-26B-A4B-it,description,None,0,None,None,False,2,816,0,0.7892,0.6872,0.3618,0.8558,0.9737,0.7795
gemma-4-E4B-it,explicit,dynamic,8,sparse,similarity,False,0,816,0,0.8199,0.6858,0.3799,0.6538,0.9435,0.8441
gemma-4-26B-A4B-it,description,None,0,None,None,False,1,816,0,0.7929,0.6854,0.3617,0.8173,0.9673,0.7893
gemma-4-26B-A4B-it,title,dynamic,8,dense,diversity,False,3,815,0,0.8123,0.685,0.3711,0.699,0.9501,0.8287
gemma-4-26B-A4B-it,description,dynamic,8,dense,mmr,False,0,816,0,0.799,0.6842,0.3636,0.7692,0.9597,0.8034
gemma-4-26B-A4B-it,title,dynamic,8,sparse,similarity,False,0,816,0,0.8039,0.683,0.3654,0.7308,0.9539,0.8146
gemma-4-26B-A4B-it,implicit,None,0,None,None,False,1,816,0,0.7904,0.683,0.3586,0.8173,0.9672,0.7865
gemma-4-26B-A4B-it,title,dynamic,8,dense,diversity,False,0,816,0,0.799,0.6827,0.3624,0.7596,0.9582,0.8048
gemma-4-26B-A4B-it,explicit,None,0,None,None,False,0,646,170,0.7972,0.6819,0.3684,0.7326,0.9516,0.8071
gemma-4-26B-A4B-it,description,dynamic,8,None,random,False,0,816,0,0.7855,0.6784,0.3527,0.8173,0.967,0.7809
gemma-4-26B-A4B-it,title,dynamic,8,fusion,similarity,False,3,815,0,0.8147,0.6772,0.3667,0.6408,0.9417,0.8399
gemma-4-26B-A4B-it,title,dynamic,8,dense,similarity,False,3,815,0,0.8196,0.6766,0.3706,0.6117,0.938,0.8497
gemma-4-26B-A4B-it,implicit,None,0,None,None,False,2,816,0,0.788,0.6765,0.3519,0.7885,0.9623,0.7879
