model,prompt_mode,demo_mode,demo_size,embedding_mode,retrieval_mode,thinking_mode,n_scored,n_abstained,accuracy,f1_macro,cohen_kappa,precision_true,recall_true,precision_false,recall_false
gpt-5.5-2026-04-23,explicit,dynamic,8,dense,similarity,False,1151,2112,0.9348,0.7496,0.4997,0.4778,0.6056,0.9736,0.9565
gemma-4-E4B-it-qlora,implicit,None,0,None,None,False,3263,0,0.9044,0.7405,0.4844,0.702,0.4313,0.9215,0.9733
gpt-5.5-2026-04-23,title,None,0,None,None,False,3263,0,0.4643,0.4396,0.138,0.1919,1.0,1.0,0.3862
gemma-4-26B-A4B-it,implicit,dynamic,8,dense,similarity,False,3263,0,0.8495,0.7325,0.4718,0.4449,0.7398,0.958,0.8655
gemma-4-26B-A4B-it,implicit,dynamic,8,dense,mmr,False,3263,0,0.8409,0.7232,0.4547,0.4278,0.7422,0.9579,0.8553
gemma-4-26B-A4B-it,implicit,dynamic,8,dense,diversity,False,3263,0,0.833,0.7216,0.4548,0.4171,0.788,0.9645,0.8395
gemma-4-26B-A4B-it,implicit,dynamic,8,fusion,similarity,False,3263,0,0.8363,0.7185,0.4464,0.4193,0.7446,0.958,0.8497
gemma-4-26B-A4B-it,implicit,dynamic,8,None,random,False,3263,0,0.8287,0.7173,0.4474,0.41,0.7904,0.9647,0.8343
gemma-4-26B-A4B-it,description,dynamic,8,dense,similarity,False,3263,0,0.8302,0.7164,0.4445,0.411,0.7735,0.9621,0.8385
gemma-4-26B-A4B-it,implicit,dynamic,8,sparse,similarity,False,3263,0,0.8299,0.7142,0.4397,0.4093,0.7614,0.9603,0.8399
gemma-4-26B-A4B-it,explicit,dynamic,8,dense,mmr,False,3263,0,0.8593,0.7114,0.4239,0.457,0.5639,0.9342,0.9024
gemma-4-26B-A4B-it,description,dynamic,8,fusion,similarity,False,3263,0,0.8201,0.7087,0.4322,0.3964,0.7928,0.9647,0.8241
gemma-4-26B-A4B-it,description,dynamic,8,dense,mmr,False,3263,0,0.821,0.7086,0.4314,0.3971,0.7855,0.9636,0.8262
gemma-4-26B-A4B-it,explicit,dynamic,8,fusion,similarity,False,3263,0,0.8492,0.7011,0.4042,0.4301,0.5711,0.9344,0.8897
gemma-4-26B-A4B-it,explicit,dynamic,8,dense,similarity,False,3263,0,0.8587,0.6975,0.3954,0.4506,0.506,0.9267,0.9101
gemma-4-26B-A4B-it,description,dynamic,8,sparse,similarity,False,3263,0,0.8072,0.6967,0.412,0.3781,0.8,0.9652,0.8083
gemma-4-26B-A4B-it,description,dynamic,8,dense,diversity,False,3263,0,0.7993,0.6956,0.4146,0.3729,0.8482,0.9728,0.7921
gemma-4-26B-A4B-it,title,dynamic,8,dense,diversity,False,3263,0,0.8085,0.6954,0.4083,0.3779,0.7831,0.9625,0.8121
gemma-4-26B-A4B-it,description,dynamic,8,None,random,False,3263,0,0.799,0.695,0.4133,0.3722,0.8458,0.9724,0.7921
gemma-4-26B-A4B-it,title,dynamic,8,dense,mmr,False,3263,0,0.8109,0.6927,0.4006,0.3774,0.7494,0.9574,0.8199
