id,description,DEF,predicted_label,reply,prompt
1011024408935982,"Oh Gott, NRW, das ist doch das versiffte Bundesland wo man schon mehr fremdartige sieht als Mitteleuropäer. Da ist eh schon alles verloren. Aber sollen sie nur machen, mir ist das egal, solang in meiner Straße keine Gruppen rumlungern. Sollen sie doch mit ihren Migranten glücklich werden. Wird aber eh nicht funktionieren wie man in Frankreich und England sieht!",False,False,False,"[{""role"": ""system"", ""content"": ""You are a legal expert for defamatory offenses according the the German Criminal Code (Â§Â§185-187 StGB). Help the user decide whether given posts fall within in the scope of these articles.""}, {""role"": ""user"", ""content"": ""Is the following post criminally relevant with respect to Â§Â§185-187 StGB (Defamatory Offense)? Answer only with 'True' (criminally relevant according to Â§Â§185-187 StGB) or 'False' (not criminally relevant according to Â§Â§185-187 StGB).""}, {""role"": ""user"", ""content"": ""Oh Gott, NRW, das ist doch das versiffte Bundesland wo man schon mehr fremdartige sieht als Mitteleuropäer. Da ist eh schon alles verloren. Aber sollen sie nur machen, mir ist das egal, solang in meiner Straße keine Gruppen rumlungern. Sollen sie doch mit ihren Migranten glücklich werden. Wird aber eh nicht funktionieren wie man in Frankreich und England sieht!""}]"
818,@Ami66Stefan @PatMair1 Schlimmer sind die IS Kämpfer die unkontrolliert ins Land kommen. # Brüder wie heute gezeigt in der ARD. Nicht nur Bio Muslems haben da gekämpft. Auch Deutscher Menschen Müll. Anders kann man solche Menschen nicht bezeichnen.,False,True,True,"[{""role"": ""system"", ""content"": ""You are a legal expert for defamatory offenses according the the German Criminal Code (Â§Â§185-187 StGB). Help the user decide whether given posts fall within in the scope of these articles.""}, {""role"": ""user"", ""content"": ""Is the following post criminally relevant with respect to Â§Â§185-187 StGB (Defamatory Offense)? Answer only with 'True' (criminally relevant according to Â§Â§185-187 StGB) or 'False' (not criminally relevant according to Â§Â§185-187 StGB).""}, {""role"": ""user"", ""content"": ""@Ami66Stefan @PatMair1 Schlimmer sind die IS Kämpfer die unkontrolliert ins Land kommen. # Brüder wie heute gezeigt in der ARD. Nicht nur Bio Muslems haben da gekämpft. Auch Deutscher Menschen Müll. Anders kann man solche Menschen nicht bezeichnen.""}]"
882699795101778,"Andy es geht nicht nur um Radikale...es gibt Berichte, wonach die Nordafrikanischen Länder ihre Kriminellen und Geisteskranken in die Boote nach Europa setzen....wenn das stimmt, erklärt das vieles....",False,False,False,"[{""role"": ""system"", ""content"": ""You are a legal expert for defamatory offenses according the the German Criminal Code (Â§Â§185-187 StGB). Help the user decide whether given posts fall within in the scope of these articles.""}, {""role"": ""user"", ""content"": ""Is the following post criminally relevant with respect to Â§Â§185-187 StGB (Defamatory Offense)? Answer only with 'True' (criminally relevant according to Â§Â§185-187 StGB) or 'False' (not criminally relevant according to Â§Â§185-187 StGB).""}, {""role"": ""user"", ""content"": ""Andy es geht nicht nur um Radikale...es gibt Berichte, wonach die Nordafrikanischen Länder ihre Kriminellen und Geisteskranken in die Boote nach Europa setzen....wenn das stimmt, erklärt das vieles....""}]"
894912003880557,"Oh waren es diesmal nicht die pösen Rechten??? Na sowas... Aber solange keiner zu Schaden kommt, sollte man die Dinger reihenweise abfackeln. Finde ich gut.",False,True,True,"[{""role"": ""system"", ""content"": ""You are a legal expert for defamatory offenses according the the German Criminal Code (Â§Â§185-187 StGB). Help the user decide whether given posts fall within in the scope of these articles.""}, {""role"": ""user"", ""content"": ""Is the following post criminally relevant with respect to Â§Â§185-187 StGB (Defamatory Offense)? Answer only with 'True' (criminally relevant according to Â§Â§185-187 StGB) or 'False' (not criminally relevant according to Â§Â§185-187 StGB).""}, {""role"": ""user"", ""content"": ""Oh waren es diesmal nicht die pösen Rechten??? Na sowas... Aber solange keiner zu Schaden kommt, sollte man die Dinger reihenweise abfackeln. Finde ich gut.""}]"
858395597532198,Stumm macht bei Euch Sinn !,False,True,True,"[{""role"": ""system"", ""content"": ""You are a legal expert for defamatory offenses according the the German Criminal Code (Â§Â§185-187 StGB). Help the user decide whether given posts fall within in the scope of these articles.""}, {""role"": ""user"", ""content"": ""Is the following post criminally relevant with respect to Â§Â§185-187 StGB (Defamatory Offense)? Answer only with 'True' (criminally relevant according to Â§Â§185-187 StGB) or 'False' (not criminally relevant according to Â§Â§185-187 StGB).""}, {""role"": ""user"", ""content"": ""Stumm macht bei Euch Sinn !""}]"
620,"Merkel – Vollbeschäftigung bis 2025, ""das ist zu schaffen"" 😂😂😂 Das Lügen u. Betrügen geht auch zur BTW 2017 weiter 😂😂😂",False,True,True,"[{""role"": ""system"", ""content"": ""You are a legal expert for defamatory offenses according the the German Criminal Code (Â§Â§185-187 StGB). Help the user decide whether given posts fall within in the scope of these articles.""}, {""role"": ""user"", ""content"": ""Is the following post criminally relevant with respect to Â§Â§185-187 StGB (Defamatory Offense)? Answer only with 'True' (criminally relevant according to Â§Â§185-187 StGB) or 'False' (not criminally relevant according to Â§Â§185-187 StGB).""}, {""role"": ""user"", ""content"": ""Merkel – Vollbeschäftigung bis 2025, \""das ist zu schaffen\"" 😂😂😂 Das Lügen u. Betrügen geht auch zur BTW 2017 weiter 😂😂😂""}]"
759,@kacktus2010 @traumdiebe Die vom Staat unterstützte Antifantenbrut ist unerträglich!,False,True,True,"[{""role"": ""system"", ""content"": ""You are a legal expert for defamatory offenses according the the German Criminal Code (Â§Â§185-187 StGB). Help the user decide whether given posts fall within in the scope of these articles.""}, {""role"": ""user"", ""content"": ""Is the following post criminally relevant with respect to Â§Â§185-187 StGB (Defamatory Offense)? Answer only with 'True' (criminally relevant according to Â§Â§185-187 StGB) or 'False' (not criminally relevant according to Â§Â§185-187 StGB).""}, {""role"": ""user"", ""content"": ""@kacktus2010 @traumdiebe Die vom Staat unterstützte Antifantenbrut ist unerträglich!""}]"
935471019824655,Och lasst doch die Salafistchen in Ruhe. Die machen doch nichts ausser bisschen Terror und Hetze. Die paar Einzelfällchen. Gleich das SEK. Hätte man doch den Gauck hinschicken können und paar Pressefotos knipsen können.,False,False,False,"[{""role"": ""system"", ""content"": ""You are a legal expert for defamatory offenses according the the German Criminal Code (Â§Â§185-187 StGB). Help the user decide whether given posts fall within in the scope of these articles.""}, {""role"": ""user"", ""content"": ""Is the following post criminally relevant with respect to Â§Â§185-187 StGB (Defamatory Offense)? Answer only with 'True' (criminally relevant according to Â§Â§185-187 StGB) or 'False' (not criminally relevant according to Â§Â§185-187 StGB).""}, {""role"": ""user"", ""content"": ""Och lasst doch die Salafistchen in Ruhe. Die machen doch nichts ausser bisschen Terror und Hetze. Die paar Einzelfällchen. Gleich das SEK. Hätte man doch den Gauck hinschicken können und paar Pressefotos knipsen können.""}]"
1718,@Onigv7 unschuldige Frauen werden vergewaltigt und sie nutzt die Aufmerksamkeit um über sowas zu reden die dreckige nutte,True,True,True,"[{""role"": ""system"", ""content"": ""You are a legal expert for defamatory offenses according the the German Criminal Code (Â§Â§185-187 StGB). Help the user decide whether given posts fall within in the scope of these articles.""}, {""role"": ""user"", ""content"": ""Is the following post criminally relevant with respect to Â§Â§185-187 StGB (Defamatory Offense)? Answer only with 'True' (criminally relevant according to Â§Â§185-187 StGB) or 'False' (not criminally relevant according to Â§Â§185-187 StGB).""}, {""role"": ""user"", ""content"": ""@Onigv7 unschuldige Frauen werden vergewaltigt und sie nutzt die Aufmerksamkeit um über sowas zu reden die dreckige nutte""}]"
891,"Seehofer, Ihr Hauptschulabschluss reicht nicht mehr aus. Jetzt löst Sie ein Akademiker ab. |LBR| Bei den Bayern haben Sie das Vertrauen verloren. Also, ab in den Ruhestand.",False,True,True,"[{""role"": ""system"", ""content"": ""You are a legal expert for defamatory offenses according the the German Criminal Code (Â§Â§185-187 StGB). Help the user decide whether given posts fall within in the scope of these articles.""}, {""role"": ""user"", ""content"": ""Is the following post criminally relevant with respect to Â§Â§185-187 StGB (Defamatory Offense)? Answer only with 'True' (criminally relevant according to Â§Â§185-187 StGB) or 'False' (not criminally relevant according to Â§Â§185-187 StGB).""}, {""role"": ""user"", ""content"": ""Seehofer, Ihr Hauptschulabschluss reicht nicht mehr aus. Jetzt löst Sie ein Akademiker ab. |LBR| Bei den Bayern haben Sie das Vertrauen verloren. Also, ab in den Ruhestand.""}]"
